Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae 342 - ortholog count (reference : comparison)	Klebsiella pneumoniae 342 - ortholuge status	Klebsiella pneumoniae 342 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae KCTC 2242 - ortholog count (reference : comparison)	Klebsiella pneumoniae KCTC 2242 - ortholuge status	Klebsiella pneumoniae KCTC 2242 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog NCBI RefSeq accession
397672611	RVBD_0797	WP_009935676.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672612	RVBD_0798c	WP_003404092.1	antigen cfp29	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672613	RVBD_0799c	WP_003914122.1	dyp-type peroxidase	1 to 1	RBB	WP_004145614.1	1 to 1	RBB	WP_008803864.1	1 to 1	RBB	WP_004145614.1	1 to 1	RBB	NP_416926.4	1 to 1	RBB	WP_004145614.1	1 to 1	RBB	WP_004145614.1	1 to 1	RBB	YP_005228144
397672614	RVBD_0800	WP_003916725.1	aminopeptidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672615	RVBD_0801	WP_003898592.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672616	RVBD_0802c	WP_003404111.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672617	RVBD_0803	WP_003916276.1	phosphoribosylformylglycinamidine synthase 2	1 to 1	SSD	WP_014907104.1	1 to 1	RBB	WP_012540856.1	1 to 1	Borderline-SSD	WP_004185139.1	1 to 1	RBB	YP_026170.1	1 to 1	RBB	WP_004185139.1	1 to 1	RBB	WP_014907104.1	1 to 1	SSD	YP_005228253
397672618	RVBD_0804	WP_003404117.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672619	RVBD_0805	WP_003404120.1	hypothetical protein	1 to 1	RBB	WP_004178398.1	1 to 1	RBB	WP_012543070.1	1 to 1	RBB	WP_004192335.1	1 to 1	RBB	NP_417504.1	1 to 1	RBB	WP_002886979.1	1 to 1	RBB	WP_004178398.1	1 to 1	RBB	YP_005224834
397672620	RVBD_0806c	WP_003898594.1	exopolysaccharide phosphotransferase CpsY	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672621	RVBD_0807	WP_003404127.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672622	RVBD_0808	WP_003911290.1	amidophosphoribosyltransferase	1 to 1	SSD	WP_002913213.1	1 to 1	RBB	WP_002913213.1	1 to 1	SSD	WP_002913213.1	1 to 1	RBB	NP_416815.1	1 to 1	RBB	WP_002913213.1	1 to 1	RBB	WP_002913213.1	1 to 1	SSD	YP_005228071
397672623	RVBD_0809	WP_003404132.1	phosphoribosylformylglycinamidine cyclo-ligase	1 to 1	SSD	WP_002913836.1	1 to 1	RBB	WP_008803825.1	1 to 1	SSD	WP_002913836.1	1 to 1	RBB	NP_416994.1	1 to 1	RBB	WP_002913836.1	1 to 1	RBB	WP_002913836.1	1 to 1	SSD	YP_005228197
397672624	RVBD_0810c	WP_003404135.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672625	RVBD_0811c	WP_003404137.1	folate-binding protein YgfZ	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672626	RVBD_0812	WP_016896213.1	4-amino-4-deoxychorismate lyase	1 to 1	RBB	WP_014907849.1	1 to 1	RBB	WP_012542240.1	1 to 1	RBB	WP_002900669.1	1 to 1	RBB	NP_415614.1	1 to 1	RBB	WP_004224090.1	1 to 1	RBB	WP_014907849.1	1 to 1	RBB	YP_005226273
397672628	RVBD_0813Ac	YP_006514163	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672627	RVBD_0813c	WP_003898596.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672629	RVBD_0814c	WP_003404278.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672630	RVBD_0815c	WP_003404293.1	thiosulfate sulfurtransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672631	RVBD_0816c	WP_003898598.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672632	RVBD_0817c	WP_003404298.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672633	RVBD_0818	WP_003901018.1	two-component system OmpR family response regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672634	RVBD_0819	WP_003404307.1	mycothiol acetyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672635	RVBD_0820	WP_003404312.1	phosphate import ATP-binding protein PstB 1	1 to 1	SSD	WP_004145006.1	1 to 1	SSD	WP_004145006.1	1 to 1	SSD	WP_004145006.1	1 to 1	RBB	NP_418181.1	1 to 1	RBB	WP_004145006.1	1 to 1	SSD	WP_004145006.1	1 to 1	SSD	YP_005229597
397672636	RVBD_0821c	WP_003404314.1	phosphate transporter regulatory protein PhoU	1 to 2	RBB	WP_004145007.1	2 to 1	RBB	WP_004145007.1	2 to 1	RBB	WP_004145007.1	1 to 1	RBB	NP_418180.1	2 to 1	RBB	WP_004145007.1	2 to 1	RBB	WP_004145007.1	2 to 1	RBB	YP_005229596
397672637	RVBD_0822c	WP_003898600.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672638	RVBD_0823c	WP_003914633.1	transcriptional regulator	1 to 1	RBB	WP_004144972.1	1 to 1	SSD	WP_008806700.1	1 to 1	RBB	WP_004144972.1	1 to 1	RBB	NP_417726.1	1 to 1	RBB	WP_004144972.1	1 to 1	SSD	WP_004144972.1	1 to 1	RBB	YP_005229101
397672639	RVBD_0824c	WP_003404321.1	acyl-ACP desaturase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672640	RVBD_0825c	WP_003404326.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672641	RVBD_0826	WP_003898602.1	hypothetical protein	1 to 2	RBB	WP_004176040.1	2 to 1	RBB	WP_012541625.1	2 to 1	RBB	WP_004176040.1	0	N/A		2 to 1	RBB	WP_004176040.1	2 to 1	RBB	WP_004176040.1	2 to 1	RBB	YP_005227094
397672642	RVBD_0827c	WP_003917353.1	ArsR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672643	RVBD_0828c	WP_003404336.1	deaminase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672644	RVBD_0829	WP_003916729.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672645	RVBD_0830	WP_003404349.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672646	RVBD_0831c	WP_003404352.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672647	RVBD_0832	WP_003404353.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672648	RVBD_0833	WP_012054164.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672649	RVBD_0834c	WP_010886090.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672650	RVBD_0835	WP_003404362.1	lipoprotein LpqQ	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672651	RVBD_0835Ac	YP_006514186	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
561108336	RVBD_0836c	WP_003900221.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672653	RVBD_0837c	WP_003404368.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672654	RVBD_0838	WP_003898609.1	D-alanyl-D-alanine dipeptidase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_416005.1	0	N/A		0	N/A		0	N/A	
397672655	RVBD_0839	WP_003404373.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672656	RVBD_0840c	WP_003404376.1	proline-specific peptidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672657	RVBD_0841	WP_003404379.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672658	RVBD_0842	WP_003898610.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672659	RVBD_0843	WP_003404384.1	pyruvate dehydrogenase E1 component subunit alpha	1 to 1	RBB	WP_012737450.1	1 to 1	RBB	WP_002889884.1	0	N/A		0	N/A		1 to 1	RBB	WP_002889884.1	1 to 1	RBB	WP_012737450.1	1 to 1	RBB	YP_005225298
397672660	RVBD_0844c	WP_003404388.1	two-component system, NarL family, nitrate/nitrite response regulator NarL	1 to 1	RBB	WP_002910198.1	1 to 1	RBB	WP_002910198.1	1 to 1	RBB	WP_002910198.1	1 to 3	RBB	NP_415739.1;NP_416424.1;NP_416697.1	1 to 1	RBB	WP_002910198.1	1 to 1	RBB	WP_002910198.1	1 to 1	RBB	YP_005227513
397672661	RVBD_0845	WP_003898611.1	two-component system NarL family sensor kinase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672662	RVBD_0846c	WP_003404392.1	oxidoreductase	1 to 1	RBB	WP_004177397.1	1 to 1	RBB	WP_012542837.1	1 to 1	RBB	WP_004177397.1	1 to 1	RBB	NP_414665.1	1 to 1	RBB	WP_004222681.1	1 to 1	RBB	WP_004177397.1	1 to 1	RBB	YP_005225157
397672663	RVBD_0847	WP_003901025.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672664	RVBD_0848	WP_003911326.1	cysteine synthase A	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672665	RVBD_0849	WP_003404402.1	hypothetical protein	1 to 1	RBB	WP_002909002.1	1 to 1	RBB	WP_012541382.1	1 to 1	RBB	WP_012068550.1	1 to 1	RBB	NP_415583.4	1 to 1	RBB	WP_004898874.1	1 to 1	RBB	WP_002909002.1	1 to 1	RBB	YP_005227443
397672666	RVBD_0850	WP_003404404.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672667	RVBD_0851c	WP_003898616.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672668	RVBD_0852	WP_003913008.1	fatty-acid-CoA ligase FadD16	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672669	RVBD_0853c	WP_003900222.1	alpha-keto-acid decarboxylase	1 to 1	RBB	WP_004159719.1	1 to 1	RBB	WP_012540952.1	1 to 1	RBB	WP_040223984.1	0	N/A		1 to 1	RBB	WP_004159719.1	1 to 1	RBB	WP_004159719.1	1 to 1	RBB	YP_005228112
397672670	RVBD_0854	WP_003404412.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672671	RVBD_0855	WP_003404414.1	fatty-acid-CoA racemase far	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672672	RVBD_0856	WP_003903201.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672673	RVBD_0857	WP_003911328.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672674	RVBD_0858c	WP_003404420.1	aminotransferase	1 to 1	RBB	WP_004223629.1	1 to 1	RBB	WP_012542465.1	1 to 1	RBB	WP_012068445.1	1 to 1	RBB	NP_415133.1	1 to 1	RBB	WP_014599089.1	1 to 1	RBB	WP_004223629.1	1 to 1	RBB	YP_005225783
397672675	RVBD_0859	WP_009934956.1	acetyl-CoA C-acetyltransferase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_415915.1	0	N/A		0	N/A		0	N/A	
397672676	RVBD_0860	WP_003404426.1	3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase	2 to 1	RBB	WP_014907148.1;WP_004181655.1	1 to 2	RBB	WP_012540961.1;WP_012543218.1	1 to 2	RBB	WP_015958773.1;WP_004901902.1	1 to 2	RBB	NP_416843.1;NP_418288.1	1 to 2	RBB	WP_004899596.1;WP_004901902.1	1 to 2	RBB	WP_004181655.1;WP_014907148.1	1 to 2	RBB	YP_005224486;YP_005228092
397672677	RVBD_0861c	WP_003913615.1	DNA excision repair protein ERCC-3	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672678	RVBD_0862c	WP_003898622.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672679	RVBD_0863	WP_003911329.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672680	RVBD_0864	WP_003404544.1	molybdenum cofactor biosynthesis protein C 2	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672681	RVBD_0865	WP_003404549.1	molybdenum cofactor synthesis domain-containing protein	1 to 1	RBB	WP_002887898.1	1 to 1	SSD	WP_008807503.1	1 to 1	RBB	WP_002887898.1	1 to 1	RBB	NP_414550.1	1 to 1	RBB	WP_002887898.1	1 to 1	SSD	WP_002887898.1	1 to 1	RBB	YP_005225019
397672682	RVBD_0866	WP_003404552.1	molybdopterin synthase catalytic subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672683	RVBD_0867c	WP_003900223.1	resuscitation-promoting factor rpfA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672684	RVBD_0868c	WP_003404559.1	molybdenum cofactor biosynthesis protein MoaD	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672685	RVBD_0869c	WP_003404564.1	molybdenum cofactor biosynthesis protein A 2	1 to 2	RBB	WP_014907914.1	2 to 1	RBB	WP_041165386.1	2 to 1	RBB	WP_012068478.1	2 to 1	RBB	NP_415302.1	2 to 1	RBB	WP_014599105.1	2 to 1	RBB	WP_014907914.1	2 to 1	RBB	YP_005225937
397672686	RVBD_0870c	WP_003404566.1	hypothetical protein	1 to 1	RBB	WP_014907884.1	1 to 1	RBB	WP_012542294.1	1 to 1	RBB	WP_002898425.1	1 to 1	RBB	NP_415481.1	1 to 1	RBB	WP_004224032.1	1 to 1	RBB	WP_014907884.1	1 to 1	RBB	YP_005226169
397672687	RVBD_0871	WP_003404570.1	CspA family cold shock protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672688	RVBD_0872c	WP_010886091.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672689	RVBD_0873	WP_003898626.1	acyl-CoA dehydrogenase fadE10	1 to 1	RBB	WP_002889690.1	5 to 1	RBB	WP_012542794.1	7 to 1	RBB	WP_002889690.1	0	N/A		6 to 1	RBB	WP_002889690.1	6 to 1	RBB	WP_002889690.1	7 to 1	RBB	YP_005225261
397672690	RVBD_0874c	WP_003404586.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672691	RVBD_0875c	WP_003404591.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672692	RVBD_0876c	WP_003898627.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672693	RVBD_0877	WP_003404596.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672694	RVBD_0878c	WP_003900226.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672695	RVBD_0879c	WP_003404603.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672696	RVBD_0880	WP_003404606.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672697	RVBD_0881	WP_003916735.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672698	RVBD_0882	WP_003404614.1	transmembrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672699	RVBD_0883c	WP_003404617.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672700	RVBD_0884c	WP_003404623.1	phosphoserine aminotransferase	1 to 1	RBB	WP_014906743.1	1 to 1	RBB	WP_012542320.1	1 to 1	RBB	WP_004181579.1	1 to 1	RBB	NP_415427.1	1 to 1	RBB	WP_004181579.1	1 to 1	RBB	WP_014906743.1	1 to 1	RBB	YP_005229534
397672701	RVBD_0885	WP_003404627.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672702	RVBD_0886	WP_003404631.1	ferredoxin-NADP+ reductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672704	RVBD_0887B	YP_006514239	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672703	RVBD_0887c	WP_003404633.1	PhnB protein	1 to 1	RBB	WP_012737181.1	1 to 1	RBB	WP_002885221.1	1 to 1	RBB	WP_002885221.1	1 to 1	RBB	NP_418531.1	1 to 1	RBB	WP_002885221.1	1 to 1	RBB	WP_012737181.1	1 to 1	RBB	YP_005224644
397672705	RVBD_0888	WP_003901038.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672706	RVBD_0889c	WP_003898633.1	citrate synthase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672707	RVBD_0890c	WP_003900227.1	LuxR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		5 to 1	RBB	WP_004899261.1	0	N/A		0	N/A	
397672709	RVBD_0891A	YP_006514244	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672708	RVBD_0891c	WP_010886093.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672710	RVBD_0892	WP_003404651.1	hypothetical protein	0	N/A		0	N/A		1 to 1	RBB	WP_004190425.1	0	N/A		0	N/A		0	N/A		0	N/A	
397672711	RVBD_0893c	WP_003404654.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672712	RVBD_0894	WP_003404660.1	LuxR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		5 to 1	RBB	WP_004899261.1	0	N/A		0	N/A	
397672713	RVBD_0895	WP_003404663.1	acyltransferase, WS/DGAT/MGAT	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672714	RVBD_0896	WP_003901040.1	citrate synthase 1	2 to 1	RBB	WP_002894943.1;WP_004147414.1	1 to 2	RBB	WP_008805683.1;WP_012542569.1	1 to 2	RBB	WP_004147414.1;WP_002894943.1	1 to 1	RBB	NP_415248.1	1 to 2	RBB	WP_004223389.1;WP_002894943.1	1 to 2	RBB	WP_004147414.1;WP_002894943.1	1 to 2	RBB	YP_005225597;YP_005225863
397672715	RVBD_0897c	WP_003900230.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672716	RVBD_0898c	WP_003404673.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672717	RVBD_0899	WP_003404684.1	OOP family OmpA-OmpF porin	1 to 1	RBB	WP_002921917.1	1 to 1	RBB	WP_002921917.1	1 to 1	RBB	WP_002921917.1	1 to 1	RBB	YP_026228.1	1 to 1	RBB	WP_002921917.1	1 to 1	RBB	WP_002921917.1	1 to 1	RBB	YP_005229368
397672718	RVBD_0900	WP_003404687.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672719	RVBD_0901	WP_003404688.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672720	RVBD_0902c	WP_003404689.1	sensor-type histidine kinase prrB	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672721	RVBD_0903c	WP_009935658.1	transcriptional regulatory protein prrA	0	N/A		5 to 1	RBB	WP_008807068.1	0	N/A		5 to 1	RBB	NP_415103.1	0	N/A		0	N/A		0	N/A	
397672722	RVBD_0904c	WP_003404691.1	acetyl-CoA carboxylase, carboxyl transferase subunit beta	1 to 1	RBB	WP_002913220.1	1 to 1	Borderline-SSD	WP_002913220.1	1 to 1	RBB	WP_002913220.1	1 to 1	RBB	NP_416819.1	1 to 1	RBB	WP_002913220.1	1 to 1	SSD	WP_002913220.1	1 to 1	RBB	YP_005228075
397672723	RVBD_0905	WP_003404702.1	enoyl-CoA hydratase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672724	RVBD_0906	WP_003900231.1	hypothetical protein	1 to 1	RBB	WP_004176966.1	1 to 1	RBB	WP_012542522.1	0	N/A		0	N/A		1 to 1	RBB	WP_004178897.1	1 to 1	RBB	WP_004176966.1	1 to 1	RBB	YP_005225688
397672725	RVBD_0907	WP_003404707.1	beta-lactamase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672726	RVBD_0908	WP_003898639.1	HAD ATPase, P-type, family IC	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672727	RVBD_0908A	YP_006514262	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672728	RVBD_0909	WP_003898641.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672729	RVBD_0910	WP_003404726.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672730	RVBD_0911	WP_003404735.1	hypothetical protein	1 to 1	RBB	WP_002890404.1	1 to 1	RBB	WP_012542701.1	1 to 1	RBB	WP_011977726.1	0	N/A		1 to 1	RBB	WP_002890404.1	1 to 1	RBB	WP_002890404.1	1 to 1	RBB	YP_005225401
397672731	RVBD_0912	WP_003404738.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672732	RVBD_0912Ac	YP_006514267	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672733	RVBD_0913c	WP_003404742.1	carotenoid cleavage dioxygenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672734	RVBD_0914c	WP_003404744.1	acetyl-CoA C-acetyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672735	RVBD_0915c	WP_003404747.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672736	RVBD_0916c	WP_003404748.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672737	RVBD_0917	WP_003404749.1	betaine/carnitine/choline transporter (BCCT) family transporter	1 to 1	RBB	WP_004142478.1	1 to 1	RBB	WP_008805564.1	1 to 1	SSD	WP_004142478.1	1 to 1	RBB	NP_414848.1	1 to 1	RBB	WP_004142478.1	1 to 1	RBB	WP_004142478.1	1 to 1	SSD	YP_005225718
397672738	RVBD_0917A	YP_006514273	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672739	RVBD_0918	WP_003898647.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003026799.1	0	N/A		0	N/A	
397672740	RVBD_0919	WP_003404756.1	hypothetical protein	1 to 1	RBB	WP_004889762.1	0	N/A		1 to 1	RBB	WP_002887280.1	0	N/A		1 to 1	RBB	WP_004901283.1	1 to 1	RBB	WP_004889762.1	1 to 1	RBB	YP_005228834
397672741	RVBD_0920c	WP_003404757.1	transposase	1 to 1	RBB	WP_004178425.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_004178425.1	1 to 1	RBB	WP_004178425.1	0	N/A	
397672742	RVBD_0921	WP_003404760.1	resolvase	0	N/A		1 to 2	RBB	WP_012541363.1;WP_012542751.1	0	N/A		0	N/A		1 to 1	RBB	WP_004898927.1	0	N/A		0	N/A	
397672743	RVBD_0922	WP_003404761.1	transposase	0	N/A		0	N/A		0	N/A		6 to 1	RBB	NP_415949.2	0	N/A		0	N/A		0	N/A	
397672744	RVBD_0923c	WP_003898648.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
