Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Lactobacillus rhamnosus GG NC_013198 - ortholog count (reference : comparison)	Lactobacillus rhamnosus GG NC_013198 - ortholuge status	Lactobacillus rhamnosus GG NC_013198 - ortholog NCBI RefSeq accession	Eubacterium rectale ATCC 33656 - ortholog count (reference : comparison)	Eubacterium rectale ATCC 33656 - ortholuge status	Eubacterium rectale ATCC 33656 - ortholog NCBI RefSeq accession	Bacteroides vulgatus ATCC 8482 - ortholog count (reference : comparison)	Bacteroides vulgatus ATCC 8482 - ortholuge status	Bacteroides vulgatus ATCC 8482 - ortholog NCBI RefSeq accession	Eubacterium eligens ATCC 27750 - ortholog count (reference : comparison)	Eubacterium eligens ATCC 27750 - ortholuge status	Eubacterium eligens ATCC 27750 - ortholog NCBI RefSeq accession
90111278	b1462	NP_415979.2	conserved protein	0	N/A		1 to 1	RBB	WP_012742333.1	1 to 1	RBB	WP_005852554.1	1 to 1	RBB	WP_041688354.1
16129422	b1463	NP_415980.1	N-hydroxyarylamine O-acetyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
16129423	b1464	NP_415981.1	conserved predicted enzyme, PhzC-PhzF family	0	N/A		0	N/A		0	N/A		0	N/A	
16129424	b1465	NP_415982.1	nitrate reductase 2 (NRZ), gamma subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16129425	b1466	NP_415983.1	nitrate reductase 2 (NRZ), delta subunit (assembly subunit)	0	N/A		0	N/A		0	N/A		0	N/A	
16129426	b1467	NP_415984.1	nitrate reductase 2 (NRZ), beta subunit	0	N/A		0	N/A		1 to 9	RBB	WP_022508245.1	0	N/A	
16129427	b1468	NP_415985.1	nitrate reductase 2 (NRZ), alpha subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16129428	b1469	NP_415986.1	nitrate/nitrite transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16129429	b1470	NP_415987.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
145698260	b1473	NP_415990.5	aromatic amino acid exporter	0	N/A		0	N/A		0	N/A		0	N/A	
16129433	b1474	NP_415991.1	formate dehydrogenase-N, alpha subunit, nitrate-inducible	0	N/A		0	N/A		0	N/A		0	N/A	
16129434	b1475	NP_415992.1	formate dehydrogenase-N, Fe-S (beta) subunit, nitrate-inducible	0	N/A		0	N/A		0	N/A		0	N/A	
16129435	b1476	NP_415993.1	formate dehydrogenase-N, cytochrome B556 (gamma) subunit, nitrate-inducible	0	N/A		0	N/A		0	N/A		0	N/A	
145698261	b1477	NP_415994.4	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012738483.1
90111280	b1478	NP_415995.4	ethanol-active dehydrogenase/acetaldehyde-active reductase	0	N/A		0	N/A		0	N/A		0	N/A	
90111281	b1479	NP_415996.2	malate dehydrogenase, (decarboxylating, NAD-requiring) (malic enzyme)	1 to 1	RBB	WP_005684057.1	0	N/A		0	N/A		0	N/A	
16129439	b1480	NP_415997.1	Stationary-phase-induced ribosome-associated protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111282	b1481	NP_415998.4	biofilm-dependent modulation protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129441	b1482	NP_415999.1	Lipoyl-dependent Cys-based peroxidase, hydroperoxide resistance; salt-shock inducible membrane protein; peroxiredoxin	2 to 1	RBB	WP_014569132.1;WP_014569206.1	0	N/A		0	N/A		0	N/A	
16129442	b1483	NP_416000.1	D,D-dipeptide permease system, ATP-binding component	0	N/A		0	N/A		0	N/A		0	N/A	
16129443	b1484	NP_416001.1	D,D-dipeptide permease system, ATP-binding component	0	N/A		0	N/A		0	N/A		0	N/A	
16129444	b1485	NP_416002.1	D-ala-D-ala transporter subunit	1 to 3	RBB	WP_005685980.1	0	N/A		0	N/A		0	N/A	
16129445	b1486	NP_416003.1	D-ala-D-ala transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16129446	b1487	NP_416004.1	D-ala-D-a la transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16129447	b1488	NP_416005.1	D-ala-D-ala dipeptidase, Zn-dependent	0	N/A		0	N/A		1 to 1	RBB	WP_008666328.1	0	N/A	
162135902	b1489	NP_416006.4	oxygen sensor, c-di-GMP phosphodiesterase, heme-regulated; cold- and stationary phase-induced bioflim regulator	0	N/A		0	N/A		0	N/A		0	N/A	
145698262	b1490	NP_416007.3	diguanylate cyclase; cold- and stationary phase-induced oxygen-dependent biofilm regulator; positively regulates csgBAC and pgaABCD	0	N/A		1 to 2	RBB	WP_012742396.1	0	N/A		1 to 1	RBB	WP_012740085.1
16129450	b1491	NP_416008.1	liprotein, glycosyl hydrolase homolog	0	N/A		0	N/A		1 to 1	RBB	WP_011964616.1	0	N/A	
16129451	b1492	NP_416009.1	predicted glutamate:gamma-aminobutyric acid antiporter	0	N/A		0	N/A		1 to 1	RBB	WP_012055932.1	0	N/A	
16129452	b1493	NP_416010.1	glutamate decarboxylase B, PLP-dependent	0	N/A		0	N/A		1 to 2	RBB	WP_012055931.1	0	N/A	
16129453	b1494	NP_416011.1	predicted peptidase	1 to 1	RBB	WP_014569349.1	0	N/A		1 to 1	RBB	WP_012055788.1	0	N/A	
16129454	b1495	NP_416012.1	predicted porin protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129455	b1496	NP_416013.1	fused predicted multidrug transporter subunits of ABC superfamily: membrane component/ATP-binding component	0	N/A		0	N/A		0	N/A		0	N/A	
90111285	b1497	NP_416014.4	conserved protein	0	N/A		2 to 2	RBB	WP_012741874.1;WP_012741649.1	0	N/A		1 to 2	RBB	WP_012739621.1
90111286	b1498	NP_416015.2	conserved protein	0	N/A		0	N/A		5 to 1	RBB	WP_032937921.1;WP_005849945.1;WP_011964648.1;WP_005850140.1;WP_007834230.1	0	N/A	
16129458	b1499	NP_416016.1	transcriptional activator for mdtEF	0	N/A		0	N/A		0	N/A		0	N/A	
16129459	b1500	NP_416017.1	Two component system connector membrane protein, EvgSA to PhoQP	0	N/A		0	N/A		0	N/A		0	N/A	
16129460	b1501	NP_416018.1	predicted oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
16129461	b1502	NP_416019.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129462	b1503	NP_416020.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129463	b1504	NP_416021.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129466	b1507	NP_416024.1	serine protein kinase required for perister formation; toxin of HipAB toxin-antitoxin system	0	N/A		0	N/A		1 to 1	RBB	WP_012055829.1	1 to 1	RBB	WP_041688478.1
16129467	b1508	NP_416025.1	antitoxin of HipAB toxin-antitoxin system	0	N/A		2 to 1	RBB	WP_036626676.1	0	N/A		0	N/A	
49176118	b1511	NP_416028.3	autoinducer-2 (AI-2) kinase	0	N/A		0	N/A		0	N/A		0	N/A	
16129471	b1512	NP_416029.1	lsr operon transcriptional repressor	1 to 1	RBB	WP_005684527.1	0	N/A		0	N/A		0	N/A	
16129472	b1513	NP_416030.1	Autoinducer 2 import ATP-binding protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129473	b1514	NP_416031.1	Autoinducer 2 import system permease protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129474	b1515	NP_416032.1	autoinducer 2 import system permease protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129475	b1516	NP_416033.1	autoinducer 2-binding protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129476	b1517	NP_416034.1	putative autoinducer-2 (AI-2) aldolase	0	N/A		0	N/A		0	N/A		0	N/A	
16129477	b1518	NP_416035.1	autoinducer-2 (AI-2) degrading protein LsrG	1 to 1	RBB	WP_005685833.1	0	N/A		1 to 1	RBB	WP_005851637.1	0	N/A	
16129478	b1519	NP_416036.1	trans-aconitate methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
90111287	b1520	NP_416037.2	predicted inner membrane protein, bestrophin family	0	N/A		0	N/A		0	N/A		0	N/A	
49176119	b1521	YP_025302.1	altronate oxidoreductase, NAD-dependent	0	N/A		0	N/A		1 to 1	RBB	WP_005846561.1	1 to 1	RBB	WP_012739145.1
16129481	b1522	NP_416039.1	predicted diguanylate cyclase	0	N/A		0	N/A		0	N/A		0	N/A	
16129482	b1523	NP_416040.1	conserved protein	0	N/A		1 to 1	RBB	WP_012744185.1	0	N/A		0	N/A	
16129483	b1524	NP_416041.1	glutaminase	0	N/A		0	N/A		1 to 1	RBB	WP_005849590.1	0	N/A	
90111288	b1525	NP_416042.2	succinate semialdehyde dehydrogenase, NAD(P)+-dependent	1 to 1	RBB	WP_005688087.1	0	N/A		0	N/A		1 to 8	RBB	WP_041687921.1
16129485	b1526	NP_416043.1	predicted DNA-binding transcriptional regulator	1 to 1	RBB	WP_005685159.1	0	N/A		0	N/A		0	N/A	
16129486	b1527	NP_416044.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129487	b1528	NP_416045.1	predicted arabinose transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16129488	b1529	NP_416046.1	inner membrane protein, UPF0056 family	0	N/A		0	N/A		0	N/A		0	N/A	
90111289	b1530	NP_416047.4	DNA-binding transcriptional repressor of multiple antibiotic resistance	1 to 1	RBB	WP_005684525.1	1 to 1	RBB	WP_012743893.1	0	N/A		1 to 1	RBB	WP_012738336.1
90111290	b1531	NP_416048.2	DNA-binding transcriptional dual activator of multiple antibiotic resistance	0	N/A		1 to 1	RBB	WP_012743572.1	0	N/A		0	N/A	
16129491	b1532	NP_416049.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111291	b1533	NP_416050.4	cysteine and O-acetyl-L-serine efflux system	0	N/A		0	N/A		1 to 1	RBB	WP_012055621.1	0	N/A	
16129493	b1534	NP_416051.1	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16129494	b1535	NP_416052.1	diguanylate cyclase, required for pgaD induction	0	N/A		0	N/A		0	N/A		0	N/A	
16129495	b1536	NP_416054.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129496	b1537	NP_416055.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129497	b1538	NP_416056.1	dipeptidyl carboxypeptidase II	0	N/A		0	N/A		3 to 1	RBB	WP_012055716.1;WP_008666673.1;WP_005844722.1	0	N/A	
16129498	b1539	NP_416057.1	Malonic semialdehyde reductase, NADPH-dependent; L-allo-threonine dehydrogenase, NAD(P)-dependent; also oxidizes L-serine, D-serine, D-threonine and 3-hydroxyisobutyrate	1 to 1	RBB	WP_014570091.1	1 to 1	RBB	WP_012742685.1	1 to 1	RBB	WP_005848295.1	0	N/A	
16129499	b1540	NP_416058.1	predicted DNA-binding transcriptional regulator	1 to 1	RBB	WP_014568908.1	3 to 1	RBB	WP_012742808.1;WP_012743838.1;WP_012741863.1	0	N/A		1 to 1	RBB	WP_012738434.1
16129500	b1541	NP_416059.1	selenoprotein, function unknown	0	N/A		0	N/A		0	N/A		0	N/A	
16129501	b1542	NP_416060.1	predicted mannonate dehydrogenase	1 to 3	RBB	WP_014568906.1	0	N/A		0	N/A		0	N/A	
345452719	b1544	NP_416062.2	cold shock protein, function unknown, Qin prophage	0	N/A		0	N/A		0	N/A		0	N/A	
16129503	b1544	NP_416062.1	Qin prophage; cold shock gene	0	N/A		0	N/A		0	N/A		0	N/A	
16129504	b1545	NP_416063.1	Qin prophage; predicted site-specific recombinase	1 to 3	RBB	WP_015764963.1	2 to 3	RBB	WP_041253887.1	1 to 3	RBB	WP_005844090.1	0	N/A	
16129505	b1546	NP_416064.1	Qin prophage; predicted tail fibre assembly protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129506	b1547	NP_416065.1	Qin prophage; predicted side tail fibre assembly protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111292	b1549	NP_416067.2	Qin prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111293	b1550	NP_416068.2	Qin prophage; multicopy suppressor of secG(Cs) and fabA6(Ts)	0	N/A		0	N/A		0	N/A		0	N/A	
90111294	b1551	NP_416069.2	Qin prophage; cold shock-induced protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129511	b1552	NP_416070.1	Qin prophage; cold shock protein	1 to 4	RBB	WP_005685812.1	1 to 6	RBB	WP_012743213.1	1 to 5	RBB	WP_005847295.1	1 to 6	RBB	WP_041687948.1
16129512	b1553	NP_416071.1	Rz-like equivalent, Qin prophage	0	N/A		0	N/A		0	N/A		0	N/A	
16129513	b1554	NP_416072.1	Qin prophage; predicted lysozyme	0	N/A		0	N/A		0	N/A		0	N/A	
16129514	b1555	NP_416073.1	Qin prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111295	b1556	NP_416074.4	Qin prophage; predicted S lysis protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129516	b1557	NP_416075.1	Qin prophage; cold shock protein	1 to 4	RBB	WP_005685812.1	1 to 6	RBB	WP_012743213.1	1 to 5	RBB	WP_005847295.1	1 to 6	RBB	WP_041687948.1
16129517	b1558	NP_416076.1	Qin prophage; cold shock protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111296	b1559	NP_416077.4	Qin prophage; predicted antitermination protein Q	0	N/A		0	N/A		0	N/A		0	N/A	
226524716	b1560	NP_416078.4	Qin prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129520	b1561	NP_416079.1	Qin prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129521	b1562	NP_416080.1	Qin prophage; small toxic polypeptide	0	N/A		0	N/A		0	N/A		0	N/A	
16129522	b1563	NP_416081.1	Qin prophage; toxin of the RelE-RelB toxin-antitoxin system	0	N/A		0	N/A		0	N/A		0	N/A	
16129523	b1564	NP_416082.1	Qin prophage; bifunctional antitoxin of the RelE-RelB toxin-antitoxin system/ transcriptional repressor	0	N/A		0	N/A		0	N/A		0	N/A	
16129524	b1565	NP_416083.1	Qin prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129525	b1566	NP_416084.1	Qin prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129528	b1569	NP_416087.1	Qin prophage; DNA-binding transcriptional regulator for DicB	0	N/A		0	N/A		0	N/A		0	N/A	
16129529	b1570	NP_416088.1	Qin prophage; predicted regulator for DicB	1 to 1	RBB	WP_014568954.1	2 to 1	RBB	WP_003509323.1	0	N/A		0	N/A	
16129530	b1571	NP_416089.1	Qin prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111298	b1572	NP_416090.2	Qin prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129532	b1573	NP_416091.1	conserved protein, Qin prophage	0	N/A		0	N/A		0	N/A		0	N/A	
16129533	b1575	NP_416092.1	Qin prophage; cell division inhibition protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129534	b1576	NP_416093.1	Qin prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129538	b1580	NP_416097.1	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	1 to 6	RBB	WP_005687935.1	1 to 1	RBB	WP_012742269.1	0	N/A		0	N/A	
16129539	b1581	NP_416098.1	bifunctional D-altronate/D-mannonate dehydratase	0	N/A		0	N/A		0	N/A		0	N/A	
16129540	b1582	NP_416099.1	inner membrane protein, UPF0060 family	0	N/A		0	N/A		0	N/A		0	N/A	
16129541	b1583	NP_416100.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129542	b1584	NP_416101.1	spermidine N1-acetyltransferase	0	N/A		1 to 1	RBB	WP_041254669.1	1 to 1	SSD	WP_008781407.1	0	N/A	
90111299	b1585	NP_416102.2	lipoprotein, UPF0257 family	0	N/A		0	N/A		0	N/A		0	N/A	
90111300	b1586	NP_416103.2	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129545	b1587	NP_416104.1	probable selenate reductase, periplasmic	0	N/A		0	N/A		0	N/A		0	N/A	
171701681	b1588	NP_416105.4	S- and N-oxide reductase, A subunit, periplasmic	0	N/A		0	N/A		0	N/A		0	N/A	
16129547	b1589	NP_416106.1	oxidoreductase, Fe-S subunit	0	N/A		0	N/A		1 to 9	RBB	WP_022508245.1	0	N/A	
16129548	b1590	NP_416107.1	oxidoreductase, membrane subunit	0	N/A		0	N/A		0	N/A		0	N/A	
90111302	b1591	NP_416108.2	twin-argninine leader-binding protein for DmsA and TorA	0	N/A		0	N/A		0	N/A		0	N/A	
90111303	b1592	NP_416109.2	chloride channel, voltage-gated	0	N/A		0	N/A		1 to 1	RBB	WP_005842960.1	0	N/A	
90111304	b1593	NP_416110.4	predicted dethiobiotin synthetase	0	N/A		0	N/A		1 to 2	RBB	WP_005843364.1	0	N/A	
16129552	b1594	NP_416111.1	Global DNA-binding transcriptional repressor; autorepressor; required for anaerobic growth on glucosamine	1 to 2	RBB	WP_005684416.1	1 to 2	RBB	WP_012743405.1	1 to 2	RBB	WP_005851321.1	0	N/A	
16129553	b1595	NP_416112.1	predicted DNA-binding transcriptional regulator	1 to 1	RBB	WP_014569545.1	0	N/A		0	N/A		1 to 5	RBB	WP_012739714.1
16129554	b1596	NP_416113.1	predicted transporter	0	N/A		0	N/A		1 to 1	RBB	WP_005847437.1	0	N/A	
90111305	b1597	NP_416114.2	acid shock-inducible periplasmic protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129556	b1598	NP_416115.1	predicted peptidase	0	N/A		0	N/A		0	N/A		0	N/A	
16129557	b1599	NP_416116.1	multidrug efflux system transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16129558	b1600	NP_416117.1	multidrug efflux system transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16129559	b1601	NP_416118.1	pheromone AI-2 transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16129560	b1602	NP_416119.1	pyridine nucleotide transhydrogenase, beta subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16129561	b1603	NP_416120.1	pyridine nucleotide transhydrogenase, alpha subunit	0	N/A		0	N/A		1 to 1	RBB	WP_005841589.1	0	N/A	
16129562	b1604	NP_416121.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129563	b1605	NP_416122.1	predicted arginine/ornithine antiporter transporter	1 to 4	RBB	WP_014569566.1	0	N/A		0	N/A		0	N/A	
16129564	b1606	NP_416123.1	dihydromonapterin reductase, NADPH-dependent; dihydrofolate reductase isozyme	0	N/A		0	N/A		0	N/A		0	N/A	
16129565	b1607	NP_416124.1	inner membrane protein, GlpM family	0	N/A		0	N/A		0	N/A		0	N/A	
145698268	b1608	NP_416125.2	multicopy supressor of yjeE, yeaZ or ygjD deletion lethality, predicted response regulator of two-component regulatory system with sensor protein RstB	0	N/A		0	N/A		1 to 2	RBB	WP_005841169.1	0	N/A	
16129567	b1609	NP_416126.1	sensory histidine kinase in two-component regulatory system with RstA	0	N/A		0	N/A		0	N/A		0	N/A	
16129568	b1610	NP_416127.1	inhibitor of replication at Ter, DNA-binding protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129569	b1611	NP_416128.1	fumarate hydratase (fumarase C),aerobic Class II	1 to 1	RBB	WP_014570094.1	0	N/A		0	N/A		0	N/A	
16129570	b1612	NP_416129.1	fumarate hydratase (fumarase A), aerobic Class I	0	N/A		1 to 2	RBB	WP_012740944.1	1 to 2	RBB	WP_005839827.1	1 to 2	RBB	WP_012738294.1
49176125	b1613	NP_416130.3	mannose-6-phosphate isomerase	0	N/A		0	N/A		1 to 1	RBB	WP_005849416.1	0	N/A	
16129572	b1614	NP_416131.1	conserved protein, DUF945 family	0	N/A		0	N/A		0	N/A		0	N/A	
90111306	b1615	NP_416132.2	predicted outer membrane porin protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129574	b1616	NP_416133.1	glucuronide transporter	0	N/A		1 to 3	RBB	WP_012742271.1	0	N/A		1 to 6	RBB	WP_041688284.1
16129575	b1617	NP_416134.1	beta-D-glucuronidase	1 to 1	RBB	WP_005687546.1	0	N/A		5 to 1	RBB	WP_012056027.1;WP_011965810.1;WP_005845752.1;WP_011965491.1;WP_011965330.1	0	N/A	
16129576	b1618	NP_416135.1	DNA-binding transcriptional repressor	1 to 1	RBB	WP_005687689.1	1 to 1	RBB	WP_041254089.1	2 to 3	RBB	WP_008782083.1;WP_005840108.1	0	N/A	
16129577	b1619	NP_416136.1	7-alpha-hydroxysteroid dehydrogenase, NAD-dependent	0	N/A		0	N/A		0	N/A		0	N/A	
16129578	b1620	NP_416137.1	transcriptional repressor of Mal regulon	0	N/A		0	N/A		0	N/A		0	N/A	
16129579	b1621	NP_416138.1	fused maltose and glucose-specific PTS enzymes: IIB component, IIC component	1 to 1	RBB	WP_005688255.1	0	N/A		0	N/A		0	N/A	
16129580	b1622	NP_416139.1	bifunctional beta-cystathionase, PLP-dependent/ regulator of maltose regulon	1 to 1	RBB	WP_014569021.1	1 to 1	RBB	WP_012743157.1	2 to 1	RBB	WP_005842558.1;WP_005839466.1	0	N/A	
16129581	b1623	NP_416140.1	adenosine deaminase	1 to 1	RBB	WP_014569982.1	1 to 1	RBB	WP_041253794.1	1 to 1	RBB	WP_012055874.1	0	N/A	
90111307	b1624	NP_416141.4	predicted oxidoreductase	0	N/A		1 to 2	RBB	WP_012743639.1	1 to 2	RBB	WP_005846163.1	0	N/A	
16129583	b1625	NP_416142.1	oriC-binding complex H-NS/Cnu; binds 26 bp cnb site; also forms a complex with StpA	0	N/A		0	N/A		0	N/A		0	N/A	
90111308	b1626	NP_416143.2	inner membrane protein, DUF2569 family	0	N/A		0	N/A		0	N/A		0	N/A	
16129585	b1627	NP_416144.1	electron transport complex protein required for the reduction of SoxR	0	N/A		1 to 1	RBB	WP_012742487.1	1 to 1	RBB	WP_005841506.1	1 to 1	RBB	WP_012739175.1
16129586	b1628	NP_416145.1	electron transport complex protein, iron-sulfur protein, required for the reduction of SoxR	0	N/A		0	N/A		1 to 1	RBB	WP_005841495.1	0	N/A	
16129587	b1629	NP_416146.1	electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase	0	N/A		1 to 1	RBB	WP_012742483.1	1 to 1	RBB	WP_005841497.1	1 to 1	RBB	WP_012739171.1
16129588	b1630	NP_416147.1	electron transport complex protein required for the reduction of SoxR; predicted membrane protein	0	N/A		1 to 1	RBB	WP_041254024.1	1 to 1	RBB	WP_005841499.1	1 to 1	RBB	WP_022098519.1
16129589	b1631	NP_416148.1	electron transport complex protein required for the reduction of SoxR	0	N/A		1 to 1	RBB	WP_012742485.1	1 to 1	RBB	WP_008671243.1	1 to 1	RBB	WP_012739173.1
16129590	b1632	NP_416149.1	electron transport complex inner membrane NADH-quinone reductase required for the reduction of SoxR	0	N/A		1 to 1	RBB	WP_012742486.1	1 to 1	RBB	WP_005841504.1	1 to 1	RBB	WP_041688573.1
16129591	b1633	NP_416150.1	DNA glycosylase and apyrimidinic (AP) lyase (endonuclease III)	1 to 1	RBB	WP_005685891.1	1 to 1	SSD	WP_022293934.1	1 to 1	SSD	WP_005846047.1	1 to 1	RBB	WP_012739928.1
16129592	b1634	NP_416151.1	dipeptide and tripeptide permease A	1 to 2	RBB	WP_005687714.1	0	N/A		1 to 4	RBB	WP_012055523.1	0	N/A	
16129593	b1635	NP_416152.1	glutathionine S-transferase	0	N/A		0	N/A		0	N/A		0	N/A	
16129594	b1636	NP_416153.1	pyridoxamine kinase	0	N/A		0	N/A		1 to 2	RBB	WP_005844490.1	0	N/A	
16129595	b1637	NP_416154.1	tyrosyl-tRNA synthetase	1 to 1	RBB	WP_014569840.1	1 to 1	RBB	WP_015517640.1	1 to 1	RBB	WP_005843969.1	1 to 1	RBB	WP_041688109.1
16129596	b1638	NP_416155.1	pyridoxine 5'-phosphate oxidase	0	N/A		0	N/A		0	N/A		0	N/A	
90111309	b1639	NP_416156.4	inhibitor of c-type lysozyme, membrane-bound; predicted lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A	
16129598	b1640	NP_416157.1	anhydro-N-acetylmuramic acid kinase	0	N/A		0	N/A		0	N/A		0	N/A	
49176129	b1641	YP_025304.1	outer membrane lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A	
90111310	b1642	NP_416159.2	DNA-binding transcriptional activator	1 to 1	RBB	WP_014569050.1	1 to 1	RBB	WP_012744226.1	1 to 1	RBB	WP_005841174.1	0	N/A	
16129601	b1643	NP_416160.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111311	b1644	NP_416161.4	predicted membrane fusion protein (MFP) of YdhJK efflux pump	0	N/A		0	N/A		0	N/A		0	N/A	
16129603	b1645	NP_416162.1	Efflux protein family (PET) component of predicted YdhJK efflux pump	0	N/A		0	N/A		0	N/A		0	N/A	
16129604	b1646	NP_416163.1	superoxide dismutase, Cu, Zn	0	N/A		0	N/A		0	N/A		0	N/A	
49176131	b1647	YP_025305.1	predicted oxidoreductase	2 to 1	RBB	WP_005716732.1;WP_005686835.1	1 to 1	RBB	WP_012741566.1	0	N/A		1 to 1	RBB	WP_012739978.1
90111312	b1648	NP_416165.2	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
145698269	b1649	NP_416166.3	transcriptional repressor for the nem operon, NEM-inactivated	0	N/A		0	N/A		0	N/A		0	N/A	
16129608	b1650	NP_416167.1	N-ethylmaleimide reductase, FMN-linked	1 to 1	RBB	WP_014570092.1	0	N/A		1 to 2	RBB	WP_011965396.1	0	N/A	
16129609	b1651	NP_416168.1	glyoxalase I, Ni-dependent	0	N/A		0	N/A		1 to 1	SSD	WP_005840337.1	0	N/A	
16129610	b1652	NP_416169.1	ribonuclease T (RNase T)	0	N/A		0	N/A		0	N/A		0	N/A	
16129611	b1653	NP_416170.1	predicted ATP-dependent helicase	0	N/A		0	N/A		0	N/A		0	N/A	
16129612	b1654	NP_416171.1	glutaredoxin-4	0	N/A		0	N/A		0	N/A		0	N/A	
16129613	b1655	NP_416172.1	predicted peptidase, C40 clan	2 to 1	RBB	WP_014569839.1;WP_005687638.1	3 to 2	RBB	WP_012744295.1;WP_012741677.1	0	N/A		1 to 4	RBB	WP_041688600.1
16129614	b1656	NP_416173.1	superoxide dismutase, Fe	0	N/A		0	N/A		1 to 1	RBB	WP_005852751.1	0	N/A	
16129615	b1657	NP_416174.1	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16129616	b1658	NP_416175.1	DNA-binding transcriptional repressor, hypoxanthine-binding	1 to 2	RBB	WP_005685547.1	1 to 3	RBB	WP_012741936.1	1 to 5	RBB	WP_005844540.1	0	N/A	
16129617	b1659	NP_416176.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
49176132	b1660	YP_025306.1	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16129619	b1661	NP_416178.1	cyclopropane fatty acyl phospholipid synthase (unsaturated-phospholipid methyltransferase)	1 to 1	RBB	WP_014569910.1	0	N/A		0	N/A		0	N/A	
16129620	b1662	NP_416179.1	riboflavin synthase, alpha subunit	0	N/A		1 to 1	SSD	WP_012743886.1	1 to 1	SSD	WP_005843829.1	0	N/A	
49176133	b1663	YP_025307.1	multidrug efflux system transporter	0	N/A		1 to 1	RBB	WP_012744394.1	1 to 1	RBB	WP_008667662.1	0	N/A	
16129622	b1664	NP_416181.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
