Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Streptococcus pneumoniae D39 - ortholog count (reference : comparison)	Streptococcus pneumoniae D39 - ortholuge status	Streptococcus pneumoniae D39 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus str. Newman - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus str. Newman - ortholuge status	Staphylococcus aureus subsp. aureus str. Newman - ortholog NCBI RefSeq accession	Bacillus subtilis subsp. subtilis str. 168 - ortholog count (reference : comparison)	Bacillus subtilis subsp. subtilis str. 168 - ortholuge status	Bacillus subtilis subsp. subtilis str. 168 - ortholog NCBI RefSeq accession
16129061	b1098	NP_415616.1	thymidylate kinase	1 to 1	RBB	YP_816308.1	1 to 1	SSD	WP_001272126.1	1 to 1	SSD	NP_387909.2
16129062	b1099	NP_415617.1	DNA polymerase III, delta prime subunit	0	N/A		0	N/A		0	N/A	
16129063	b1100	NP_415618.1	predicted DNAse	1 to 1	SSD	YP_817210.1	1 to 1	RBB	WP_000904312.1	1 to 1	SSD	NP_387920.1
16129064	b1101	NP_415619.1	fused glucose-specific PTS enzymes: IIB component/IIC component	0	N/A		2 to 1	RBB	WP_000473675.1;WP_001227724.1	1 to 1	RBB	NP_389272.1
16129065	b1102	NP_415620.1	ferric-rhodotorulic acid outer membrane transporter	0	N/A		0	N/A		0	N/A	
49176077	b1103	NP_415621.3	purine nucleoside phosphoramidase	1 to 1	RBB	YP_815971.1	1 to 1	RBB	WP_000004981.1	1 to 1	Non-SSD	NP_388884.1
16129067	b1104	NP_415622.1	predicted protein	0	N/A		0	N/A		0	N/A	
16129068	b1105	NP_415623.1	outer membrane lipoprotein	0	N/A		0	N/A		0	N/A	
16129069	b1106	NP_415624.1	thiamin kinase	0	N/A		0	N/A		0	N/A	
16129070	b1107	NP_415625.1	beta N-acetyl-glucosaminidase	0	N/A		0	N/A		1 to 1	RBB	NP_388047.1
90111213	b1108	NP_415626.4	conserved protein	0	N/A		0	N/A		0	N/A	
16129072	b1109	NP_415627.1	respiratory NADH dehydrogenase 2/cupric reductase	0	N/A		1 to 1	RBB	WP_000046076.1	1 to 2	RBB	NP_389111.1;NP_391090.1
16129073	b1110	NP_415628.1	predicted protein	0	N/A		0	N/A		0	N/A	
90111214	b1111	NP_415629.4	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		2 to 1	SSD	YP_054572.1
16129075	b1112	NP_415630.1	biofilm, cell surface and signaling protein	0	N/A		0	N/A		0	N/A	
16129076	b1113	NP_415631.1	L,D-transpeptidase linking Lpp to murein	0	N/A		0	N/A		3 to 1	RBB	NP_390274.1
16129077	b1114	NP_415632.1	transcription-repair coupling factor	1 to 1	SSD	YP_815427.1	1 to 1	RBB	WP_000154227.1	1 to 1	SSD	NP_387936.1
16129078	b1115	NP_415633.1	inner membrane protein	0	N/A		0	N/A		0	N/A	
16129079	b1116	NP_415634.1	lipoprotein-releasing system transmembrane protein	0	N/A		0	N/A		0	N/A	
90111215	b1117	NP_415635.4	outer membrane-specific lipoprotein transporter subunit	0	N/A		1 to 1	RBB	WP_000923760.1	0	N/A	
16129081	b1118	NP_415636.1	lipoprotein-releasing system transmembrane protein	0	N/A		0	N/A		0	N/A	
16129082	b1119	NP_415637.1	N-acetyl-D-glucosamine kinase	1 to 2	RBB	YP_816079.1	0	N/A		0	N/A	
308209619	b1120	NP_415638.2	deacetylase of acs and cheY, regulates chemotaxis	0	N/A		1 to 1	RBB	WP_000679865.1	1 to 1	Non-SSD	NP_388846.1
16129084	b1121	NP_415639.1	inner membrane protein	0	N/A		0	N/A		0	N/A	
90111216	b1122	NP_415640.2	conserved inner membrane protein	0	N/A		0	N/A		0	N/A	
16129086	b1123	NP_415641.1	polyamine transporter subunit	1 to 1	RBB	YP_816685.1	1 to 1	RBB	WP_000819690.1	0	N/A	
16129087	b1124	NP_415642.1	polyamine transporter subunit	1 to 2	RBB	YP_816686.1	1 to 2	RBB	WP_000872390.1	0	N/A	
162135921	b1125	NP_415643.3	polyamine transporter subunit	1 to 2	RBB	YP_816687.1	1 to 2	RBB	WP_001246561.1	0	N/A	
16129089	b1126	NP_415644.1	polyamine transporter subunit	1 to 1	RBB	YP_816688.1	1 to 1	SSD	WP_000433551.1	0	N/A	
16129090	b1127	NP_415645.1	peptidase T	1 to 1	RBB	YP_816373.1	1 to 1	RBB	WP_000795826.1	1 to 1	SSD	NP_391771.1
90111217	b1128	NP_415646.4	conserved protein	0	N/A		0	N/A		1 to 1	RBB	NP_391867.1
16129092	b1129	NP_415647.1	sensory histidine kinase in two-component regulatory system with PhoP	0	N/A		0	N/A		0	N/A	
16129093	b1130	NP_415648.1	DNA-binding response regulator in two-component regulatory system with PhoQ	0	N/A		0	N/A		0	N/A	
16129094	b1131	NP_415649.1	adenylosuccinate lyase	1 to 1	SSD	YP_815510.1	1 to 1	Borderline-SSD	WP_000572878.1	1 to 1	RBB	NP_388526.1
16129095	b1132	NP_415650.1	predicted lysogenization regulator	0	N/A		0	N/A		0	N/A	
90111218	b1133	NP_415651.4	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	1 to 1	SSD	YP_815643.1	1 to 1	RBB	WP_000066097.1	1 to 1	SSD	NP_390627.3
16129097	b1134	NP_415652.1	bifunctional thiamin pyrimidine pyrophosphate hydrolase/ thiamin pyrophosphate hydrolase	0	N/A		1 to 1	RBB	WP_001549054.1	0	N/A	
162135898	b1135	NP_415653.4	23S rRNA U2457 pseudouridine synthase	0	N/A		0	N/A		0	N/A	
16129099	b1136	NP_415654.1	e14 prophage; isocitrate dehydrogenase, specific for NADP+	0	N/A		1 to 1	RBB	WP_000123165.1	1 to 1	RBB	NP_390791.1
16129100	b1137	NP_415655.1	e14 prophage; predicted SAM-dependent methyltransferase	0	N/A		0	N/A		0	N/A	
16129101	b1138	NP_415656.1	e14 prophage; predicted inner membrane protein	0	N/A		0	N/A		0	N/A	
16129102	b1139	NP_415657.1	e14 prophage; cell death peptidase, inhibitor of T4 late gene expression	0	N/A		0	N/A		0	N/A	
16129103	b1140	NP_415658.1	e14 prophage; predicted integrase	0	N/A		0	N/A		0	N/A	
16129104	b1141	NP_415659.1	e14 prophage; predicted excisionase	0	N/A		0	N/A		0	N/A	
90111220	b1143	NP_415661.2	e14 prophage; predicted protein	0	N/A		0	N/A		0	N/A	
90111221	b1144	NP_415662.2	e14 prophage; predicted protein	0	N/A		0	N/A		0	N/A	
16129108	b1145	NP_415663.1	e14 prophage; repressor protein phage e14	0	N/A		0	N/A		0	N/A	
90111222	b1146	NP_415664.2	e14 prophage; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
145698241	b1147	NP_415665.2	e14 prophage; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
16129111	b1148	NP_415666.1	e14 prophage; predicted protein	0	N/A		0	N/A		0	N/A	
16129113	b1150	NP_415668.1	e14 prophage; predicted protein	0	N/A		0	N/A		0	N/A	
16129116	b1153	NP_415671.1	prohage e14 tail protein homolog	0	N/A		0	N/A		0	N/A	
16129117	b1154	NP_415672.1	e14 prophage; predicted protein	0	N/A		0	N/A		0	N/A	
16129118	b1155	NP_415673.1	e14 prophage; predicted protein	0	N/A		0	N/A		0	N/A	
16129119	b1156	NP_415674.1	e14 prophage; predicted tail fiber assembly protein	0	N/A		0	N/A		0	N/A	
16129121	b1158	NP_415676.1	e14 prophage; site-specific DNA recombinase	1 to 3	RBB	YP_816399.1	1 to 3	RBB	WP_000861313.1	1 to 1	SSD	NP_390454.2
16129122	b1159	NP_415677.1	e14 prophage; 5-methylcytosine-specific restriction endonuclease B	0	N/A		0	N/A		0	N/A	
16129123	b1160	NP_415678.1	RpoS stabilzer during Mg starvation, anti-RssB factor	0	N/A		0	N/A		0	N/A	
16129124	b1161	NP_415679.1	predicted protein	0	N/A		0	N/A		0	N/A	
16129125	b1162	NP_415680.1	repressor of blue light-responsive genes	1 to 2	RBB	YP_815955.1	1 to 2	RBB	WP_031760852.1	2 to 1	RBB	NP_389627.1
16129126	b1163	NP_415681.1	anti-repressor for YcgE, blue light-responsive; FAD-binding; has c-di-GMP phosphodiesterase-like EAL domain, but does not degrade c-di-GMP	0	N/A		0	N/A		0	N/A	
16129127	b1164	NP_415682.1	connector protein for RcsB regulation of biofilm and acid-resistance	0	N/A		0	N/A		0	N/A	
16129128	b1165	NP_415683.1	connector protein for RcsB regulation of biofilm	0	N/A		0	N/A		0	N/A	
16129129	b1166	NP_415684.1	connector protein for RcsB regulation of biofilm and acid-resistance	0	N/A		0	N/A		0	N/A	
16129130	b1167	NP_415685.1	predicted protein	0	N/A		0	N/A		0	N/A	
90111225	b1168	NP_415686.2	predicted cyclic-di-GMP phosphodiesterase	0	N/A		0	N/A		0	N/A	
90111226	b1171	NP_415689.2	predicted protein	0	N/A		0	N/A		0	N/A	
288551664	b1172	NP_415690.5	conserved protein, UPF0757 family	0	N/A		0	N/A		0	N/A	
16129137	b1174	NP_415692.1	cell division topological specificity factor	0	N/A		0	N/A		0	N/A	
16129138	b1175	NP_415693.1	membrane ATPase of the MinC-MinD-MinE system	0	N/A		0	N/A		1 to 1	RBB	NP_390677.1
16129139	b1176	NP_415694.1	cell division inhibitor	0	N/A		0	N/A		0	N/A	
16129140	b1177	NP_415695.1	predicted protein	0	N/A		0	N/A		0	N/A	
16129141	b1178	NP_415696.1	predicted protein	0	N/A		0	N/A		0	N/A	
308209620	b1179	NP_415697.4	conserved protein	0	N/A		0	N/A		0	N/A	
16129143	b1180	NP_415698.1	predicted isomerase/hydrolase	0	N/A		1 to 1	SSD	WP_000670752.1	1 to 1	Borderline-SSD	NP_388956.1
145698245	b1181	NP_415699.5	conserved protein	0	N/A		0	N/A		0	N/A	
162135899	b1182	NP_415700.4	hemolysin E	0	N/A		0	N/A		0	N/A	
16129146	b1183	NP_415701.1	DNA polymerase V, subunit D	0	N/A		0	N/A		0	N/A	
16129147	b1184	NP_415702.1	DNA polymerase V, subunit C	0	N/A		1 to 1	RBB	WP_000283016.1	0	N/A	
49176085	b1185	NP_415703.3	oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I	0	N/A		0	N/A		0	N/A	
16129149	b1186	NP_415704.1	sodium:proton antiporter	0	N/A		0	N/A		0	N/A	
16129150	b1187	NP_415705.1	DNA-binding transcriptional dual regulator of fatty acid metabolism	0	N/A		0	N/A		0	N/A	
16129151	b1188	NP_415706.1	conserved protein	0	N/A		0	N/A		1 to 1	RBB	NP_388821.1
16129152	b1189	NP_415707.1	D-amino acid dehydrogenase	0	N/A		0	N/A		1 to 2	RBB	NP_389049.1;NP_391143.1
16129153	b1190	NP_415708.1	alanine racemase 2, PLP-binding	1 to 2	RBB	YP_816964.1	1 to 2	RBB	WP_001281145.1	1 to 1	RBB	NP_388345.1
90111230	b1191	NP_415709.2	predicted cation/proton antiporter	0	N/A		0	N/A		0	N/A	
16129155	b1192	NP_415710.1	L,D-carboxypeptidase A	0	N/A		0	N/A		1 to 1	RBB	NP_389180.2
90111231	b1193	NP_415711.2	lytic murein endotransglycosylase E	0	N/A		0	N/A		0	N/A	
16129157	b1194	NP_415712.1	flagellar velocity braking protein, c-di-GMP-regulated	0	N/A		0	N/A		0	N/A	
16129158	b1195	NP_415713.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A	
16129159	b1196	NP_415714.1	predicted protein	0	N/A		0	N/A		0	N/A	
16129160	b1197	NP_415715.1	periplasmic trehalase	0	N/A		0	N/A		0	N/A	
226524708	b1198	NP_415716.4	fused predicted dihydroxyacetone-specific PTS enzymes: HPr component/EI component	0	N/A		0	N/A		0	N/A	
16129162	b1199	NP_415717.1	dihydroxyacetone kinase, C-terminal domain	0	N/A		1 to 1	RBB	WP_000867203.1	0	N/A	
162135900	b1200	NP_415718.6	dihydroxyacetone kinase, PTS-dependent, dihydroxyacetone-binding subunit	0	N/A		1 to 1	RBB	WP_000976269.1	0	N/A	
90111234	b1201	NP_415719.2	DNA-binding transcription activator of the dhaKLM operon	0	N/A		0	N/A		0	N/A	
16129165	b1202	NP_415720.1	predicted adhesin	0	N/A		0	N/A		0	N/A	
16129166	b1203	NP_415721.1	predicted GTP-binding protein	1 to 1	SSD	YP_815423.1	1 to 1	SSD	WP_001218732.1	1 to 1	SSD	NP_391972.1
16129167	b1204	NP_415722.1	peptidyl-tRNA hydrolase	1 to 1	SSD	YP_815426.1	1 to 1	RBB	WP_000649791.1	1 to 1	SSD	NP_387934.1
16129168	b1205	NP_415723.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A	
90111235	b1206	NP_415724.2	predicted transporter	0	N/A		0	N/A		1 to 1	RBB	NP_391346.1
16129170	b1207	NP_415725.1	phosphoribosylpyrophosphate synthase	2 to 1	SSD	YP_816456.1;YP_815453.1	1 to 1	SSD	WP_000933774.1	1 to 1	SSD	NP_387932.1
16129171	b1208	NP_415726.1	4-diphosphocytidyl-2-C-methylerythritol kinase	0	N/A		1 to 1	RBB	WP_000638870.1	1 to 1	SSD	NP_387927.1
16129172	b1209	NP_415727.1	OM lipoprotein required for localization of lipoproteins	0	N/A		0	N/A		0	N/A	
16129173	b1210	NP_415728.1	glutamyl tRNA reductase	0	N/A		1 to 1	SSD	WP_000545451.1	1 to 1	SSD	NP_390695.1
16129174	b1211	NP_415729.1	peptide chain release factor RF-1	1 to 1	RBB	YP_816384.1	1 to 1	RBB	WP_000460242.1	1 to 1	SSD	NP_391582.1
16129175	b1212	NP_415730.1	N5-glutamine methyltransferase, modifies release factors RF-1 and RF-2	0	N/A		1 to 1	RBB	WP_000248735.1	1 to 1	SSD	NP_391581.1
16129176	b1213	NP_415731.1	predicted inner membrane protein, SIRB family	0	N/A		0	N/A		0	N/A	
16129177	b1214	NP_415732.1	conserved protein	0	N/A		0	N/A		0	N/A	
16129178	b1215	NP_415733.1	3-deoxy-D-manno-octulosonate 8-phosphate synthase	0	N/A		1 to 1	RBB	WP_000066378.1	1 to 1	RBB	NP_390853.1
16129179	b1216	NP_415734.1	calcium/sodium:proton antiporter	0	N/A		0	N/A		0	N/A	
16129180	b1217	NP_415735.1	cation transport regulator	0	N/A		0	N/A		0	N/A	
145698247	b1218	NP_415736.2	cation transport regulator	0	N/A		0	N/A		0	N/A	
16129182	b1219	NP_415737.1	conserved protein	0	N/A		0	N/A		0	N/A	
145698248	b1220	NP_415738.2	predicted invasin	0	N/A		0	N/A		0	N/A	
16129184	b1221	NP_415739.1	DNA-binding response regulator in two-component regulatory system with NarX (or NarQ)	1 to 2	RBB	YP_815865.1	2 to 2	RBB	WP_001045133.1;WP_000153530.1	1 to 1	RBB	NP_388814.1
16129185	b1222	NP_415740.1	sensory histidine kinase in two-component regulatory system with NarL	1 to 1	RBB	YP_815864.1	0	N/A		1 to 1	RBB	NP_391189.1
16129186	b1223	NP_415741.1	nitrate/nitrite transporter	0	N/A		0	N/A		2 to 2	RBB	NP_388215.2;NP_391613.2
16129187	b1224	NP_415742.1	nitrate reductase 1, alpha subunit	0	N/A		1 to 2	RBB	WP_000514391.1	2 to 1	RBB	NP_391609.2
16129188	b1225	NP_415743.1	nitrate reductase 1, beta (Fe-S) subunit	0	N/A		1 to 2	RBB	WP_000692645.1	2 to 1	RBB	NP_391608.1
16129189	b1226	NP_415744.1	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1	0	N/A		0	N/A		1 to 1	RBB	NP_391607.1
16129190	b1227	NP_415745.1	nitrate reductase 1, gamma (cytochrome b(NR)) subunit	0	N/A		1 to 2	RBB	WP_000934151.1	2 to 1	RBB	NP_391606.1
145698249	b1229	NP_415747.2	protamine-like protein	0	N/A		0	N/A		0	N/A	
16129193	b1232	NP_415748.1	formyltetrahydrofolate hydrolase	0	N/A		0	N/A		1 to 1	SSD	NP_389194.2
16129194	b1233	NP_415749.1	conserved protein, UPF0225 family	0	N/A		0	N/A		0	N/A	
226524709	b1234	NP_415750.2	conserved protein, patatin-like family	0	N/A		0	N/A		1 to 1	RBB	NP_389387.1
16129196	b1235	NP_415751.1	response regulator binding RpoS to initiate proteolysis by ClpXP; required for the PcnB-degradosome interaction during stationary phase	0	N/A		0	N/A		0	N/A	
16129197	b1236	NP_415752.1	glucose-1-phosphate uridylyltransferase	1 to 2	SSD	YP_817307.1	1 to 2	RBB	WP_000721336.1	2 to 2	RBB	NP_389700.1;NP_391447.1
16129198	b1237	NP_415753.1	global DNA-binding transcriptional dual regulator H-NS	0	N/A		0	N/A		0	N/A	
16129199	b1238	NP_415754.1	thymidine kinase/deoxyuridine kinase	1 to 1	RBB	YP_816382.1	1 to 1	RBB	WP_000273356.1	1 to 1	Non-SSD	NP_391587.1
16129202	b1241	NP_415757.1	fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase	1 to 1	RBB	YP_817241.1	1 to 1	RBB	WP_000955777.1	0	N/A	
16129203	b1242	NP_415758.1	predicted inner membrane protein	0	N/A		0	N/A		1 to 1	RBB	NP_391265.1
16129204	b1243	NP_415759.1	oligopeptide transporter subunit	3 to 3	RBB	YP_815848.1;YP_817120.1;YP_816818.1	1 to 3	RBB	WP_000197019.1	3 to 2	RBB	NP_389025.1;NP_389179.2
16129205	b1244	NP_415760.1	oligopeptide transporter subunit	0	N/A		1 to 1	RBB	WP_000521533.1	1 to 2	RBB	NP_389026.1;NP_389176.1
16129206	b1245	NP_415761.1	oligopeptide transporter subunit	0	N/A		1 to 1	RBB	WP_000829632.1	1 to 1	RBB	NP_389027.1
49176090	b1246	YP_025300.1	oligopeptide transporter subunit	1 to 2	RBB	YP_817117.1	1 to 1	SSD	WP_000140050.1	1 to 3	RBB	NP_389018.1;NP_389028.1;NP_389178.1
16129208	b1247	NP_415763.1	oligopeptide transporter subunit	1 to 2	RBB	YP_817116.1	0	N/A		1 to 3	RBB	NP_389019.2;NP_389029.1;NP_389183.2
90111236	b1248	NP_415764.4	conserved protein, UPF0263 family	0	N/A		0	N/A		0	N/A	
16129210	b1249	NP_415765.1	cardiolipin synthase 1	1 to 1	RBB	YP_815704.1	2 to 1	RBB	WP_000571549.1;WP_001212860.1	1 to 3	RBB	NP_391540.1;NP_391600.1;NP_391605.1
16129211	b1250	NP_415766.1	voltage-gated potassium channel	0	N/A		0	N/A		1 to 1	RBB	NP_391010.3
90111237	b1251	NP_415767.2	predicted enzyme	0	N/A		0	N/A		0	N/A	
16129213	b1252	NP_415768.1	membrane spanning protein in TonB-ExbB-ExbD transport complex	0	N/A		0	N/A		0	N/A	
16129214	b1253	NP_415769.1	Acyl-CoA esterase, role unknown	0	N/A		1 to 1	RBB	WP_000184383.1	1 to 1	RBB	NP_389186.2
16129215	b1254	NP_415770.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A	
16129216	b1255	NP_415771.1	inner membrane protein, UPF0259 family	0	N/A		0	N/A		0	N/A	
16129217	b1256	NP_415772.1	outer membrane protein W	0	N/A		0	N/A		0	N/A	
16129218	b1257	NP_415773.1	predicted rubrerythrin/ferritin-like metal-binding protein	0	N/A		0	N/A		0	N/A	
16129219	b1258	NP_415774.1	predicted rubrerythrin/ferritin-like metal-binding protein	0	N/A		0	N/A		0	N/A	
90111238	b1259	NP_415775.4	predicted protein	0	N/A		0	N/A		0	N/A	
16129221	b1260	NP_415776.1	tryptophan synthase, alpha subunit	1 to 1	SSD	YP_817048.1	1 to 1	SSD	WP_000163627.1	1 to 1	SSD	NP_390144.1
16129222	b1261	NP_415777.1	tryptophan synthase, beta subunit	1 to 1	Borderline-SSD	YP_817049.1	1 to 1	SSD	WP_001041337.1	1 to 1	SSD	NP_390145.2
90111239	b1262	NP_415778.2	fused indole-3-glycerolphosphate synthetase/N-(5-phosphoribosyl)anthranilate isomerase	1 to 1	SSD	YP_817051.1	1 to 1	SSD	WP_000154118.1	1 to 1	Borderline-SSD	NP_390147.3
16129224	b1263	NP_415779.1	fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase	1 to 1	SSD	YP_817052.1	1 to 1	SSD	WP_000173832.1	0	N/A	
16129225	b1264	NP_415780.1	component I of anthranilate synthase	1 to 1	Borderline-SSD	YP_817054.1	1 to 1	SSD	WP_000350978.1	1 to 1	SSD	NP_390149.1
16129226	b1265	NP_415781.1	trp operon leader peptide	0	N/A		0	N/A		0	N/A	
16129227	b1266	NP_415782.1	conserved protein	0	N/A		0	N/A		0	N/A	
162135901	b1267	NP_415783.6	predicted RNA binding protein	1 to 2	RBB	YP_816386.1	0	N/A		0	N/A	
16129229	b1268	NP_415784.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A	
16129230	b1269	NP_415785.1	23S rRNA pseudouridylate synthase	0	N/A		1 to 1	RBB	WP_000159577.1	1 to 1	SSD	NP_390197.2
16129231	b1270	NP_415786.1	cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase	0	N/A		0	N/A		0	N/A	
16129232	b1271	NP_415787.1	predicted oxoacyl-(acyl carrier protein) reductase, EmrKY-TolC system	0	N/A		0	N/A		0	N/A	
16129233	b1272	NP_415788.1	predicted inner membrane peptidase; multicopy suppressor of htrA(degP)	0	N/A		0	N/A		0	N/A	
16129234	b1273	NP_415789.1	predicted protein	0	N/A		0	N/A		0	N/A	
16129235	b1274	NP_415790.1	DNA topoisomerase I, omega subunit	1 to 1	RBB	YP_816589.1	1 to 1	SSD	WP_000774788.1	1 to 1	SSD	NP_389494.1
16129236	b1275	NP_415791.1	DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding	1 to 4	RBB	YP_816301.1	0	N/A		0	N/A	
16129237	b1276	NP_415792.1	aconitate hydratase 1	0	N/A		1 to 1	RBB	WP_000729744.1	1 to 1	SSD	NP_389683.1
16129238	b1277	NP_415793.1	GTP cyclohydrolase II	0	N/A		0	N/A		1 to 1	SSD	NP_390207.1
16129239	b1278	NP_415794.1	phosphatidylglycerophosphatase B	0	N/A		0	N/A		0	N/A	
16129240	b1279	NP_415795.1	conserved inner membrane protein	0	N/A		0	N/A		0	N/A	
16129241	b1280	NP_415796.1	TPR-repeats-containing protein	0	N/A		0	N/A		0	N/A	
16129242	b1281	NP_415797.1	orotidine-5'-phosphate decarboxylase	1 to 1	RBB	YP_816105.1	1 to 1	RBB	WP_000654061.1	1 to 1	RBB	NP_389438.1
90111241	b1282	NP_415798.2	initiation factor function partial mimic, SUI1 family	0	N/A		0	N/A		0	N/A	
16129244	b1283	NP_415799.1	lipoprotein	0	N/A		0	N/A		0	N/A	
16129245	b1284	NP_415800.1	global regulator of transcription; DeoR family	1 to 1	RBB	YP_815748.1	0	N/A		0	N/A	
16129246	b1285	NP_415801.1	cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability	0	N/A		0	N/A		1 to 1	SSD	YP_054577.1
16129247	b1286	NP_415802.1	ribonuclease II	0	N/A		0	N/A		0	N/A	
90111242	b1287	NP_415803.2	predicted oxidoreductase	0	N/A		0	N/A		0	N/A	
16129249	b1288	NP_415804.1	enoyl-[acyl-carrier-protein] reductase, NADH-dependent	0	N/A		1 to 1	RBB	WP_000933195.1	1 to 1	SSD	NP_389054.2
16129250	b1289	NP_415805.1	conserved protein	0	N/A		0	N/A		0	N/A	
16129251	b1290	NP_415806.1	antimicrobial peptide transport ABC system ATP-binding protein	0	N/A		0	N/A		0	N/A	
16129252	b1291	NP_415807.1	antimicrobial peptide transport ABC system ATP-binding protein	0	N/A		0	N/A		0	N/A	
16129253	b1292	NP_415808.1	antimicrobial peptide transport ABC transporter permease	0	N/A		0	N/A		0	N/A	
16129254	b1293	NP_415809.1	antimicrobial peptide transport ABC transporter permease	0	N/A		0	N/A		0	N/A	
16129255	b1294	NP_415810.1	antimicrobial peptide transport ABC transporter periplasmic binding protein	1 to 5	RBB	YP_816638.1	0	N/A		0	N/A	
16129256	b1295	NP_415811.1	predicted protein	0	N/A		0	N/A		0	N/A	
90111243	b1296	NP_415812.4	putrescine importer	0	N/A		0	N/A		2 to 1	RBB	NP_388615.1
90111244	b1297	NP_415813.4	gamma-Glu-putrescine synthase	0	N/A		0	N/A		0	N/A	
90111245	b1298	NP_415814.4	gamma-Glu-GABA hydrolase	2 to 1	RBB	YP_816451.1;YP_817288.1	0	N/A		0	N/A	
16129260	b1299	NP_415815.1	DNA-binding transcriptional repressor for the puu divergon	1 to 1	RBB	YP_816011.1	1 to 1	RBB	WP_001020625.1	0	N/A	
16129261	b1300	NP_415816.1	gamma-Glu-gamma-aminobutyraldehyde dehydrogenase, NAD(P)H-dependent	1 to 6	RBB	YP_816479.1	0	N/A		0	N/A	
16129262	b1301	NP_415817.1	gamma-Glu-putrescine oxidase, FAD/NAD(P)-binding	0	N/A		0	N/A		1 to 1	RBB	NP_388920.1
16129263	b1302	NP_415818.1	GABA aminotransferase, PLP-dependent	0	N/A		1 to 2	RBB	WP_000030057.1	2 to 1	RBB	NP_388272.1
90111246	b1303	NP_415819.4	DNA-binding transcriptional activator	0	N/A		0	N/A		0	N/A	
16129265	b1304	NP_415820.1	regulatory protein for phage-shock-protein operon	0	N/A		0	N/A		1 to 1	RBB	NP_388499.1
16129266	b1305	NP_415821.1	DNA-binding transcriptional regulator of psp operon	0	N/A		0	N/A		0	N/A	
16129267	b1306	NP_415822.1	DNA-binding transcriptional activator	1 to 1	RBB	YP_816439.1	0	N/A		0	N/A	
16129268	b1307	NP_415823.1	peripheral inner membrane phage-shock protein	0	N/A		0	N/A		0	N/A	
16129269	b1308	NP_415824.1	thiosulfate:cyanide sulfurtransferase (rhodanese)	0	N/A		0	N/A		0	N/A	
90111247	b1309	NP_415825.4	predicted glucosyltransferase	1 to 1	RBB	YP_817122.1	0	N/A		0	N/A	
16129271	b1310	NP_415826.1	predicted sugar transporter subunit: periplasmic-binding component of ABC superfamily	1 to 1	RBB	YP_816958.1	0	N/A		1 to 1	RBB	NP_391140.1
16129272	b1311	NP_415827.1	predicted sugar transporter subunit: membrane component of ABC superfamily	1 to 1	RBB	YP_816957.1	0	N/A		1 to 2	RBB	NP_390752.1;NP_390906.1
16129273	b1312	NP_415828.1	predicted sugar transporter subunit: membrane component of ABC superfamily	1 to 1	Borderline-SSD	YP_816956.1	0	N/A		1 to 2	RBB	NP_390751.2;NP_391138.1
16129274	b1313	NP_415829.1	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	0	N/A		0	N/A		0	N/A	
90111248	b1314	NP_415830.2	predicted enzyme	0	N/A		0	N/A		0	N/A	
16129276	b1315	NP_415831.1	predicted oxidoreductase, NADH-binding	0	N/A		1 to 1	SSD	WP_000153466.1	1 to 1	RBB	NP_388934.2
16129277	b1316	NP_415832.1	predicted hydrolase	0	N/A		0	N/A		1 to 1	RBB	NP_391337.1
16129278	b1317	NP_415833.1	beta-phosphoglucomutase	0	N/A		1 to 2	RBB	WP_000285450.1	1 to 1	RBB	NP_391335.1
16129280	b1319	NP_415835.1	outer membrane porin G	0	N/A		0	N/A		0	N/A	
16129281	b1320	NP_415836.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
16129282	b1321	NP_415837.1	conserved protein with nucleoside triphosphate hydrolase domain	0	N/A		0	N/A		0	N/A	
16129283	b1322	NP_415838.1	inner membrane protein, UPF0283 family	0	N/A		0	N/A		0	N/A	
