Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Pseudomonas stutzeri DSM 10701 - ortholog count (reference : comparison)	Pseudomonas stutzeri DSM 10701 - ortholuge status	Pseudomonas stutzeri DSM 10701 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa DK2 - ortholog count (reference : comparison)	Pseudomonas aeruginosa DK2 - ortholuge status	Pseudomonas aeruginosa DK2 - ortholog NCBI RefSeq accession	Propionibacterium propionicum F0230a - ortholog count (reference : comparison)	Propionibacterium propionicum F0230a - ortholuge status	Propionibacterium propionicum F0230a - ortholog NCBI RefSeq accession	Pseudomonas putida S16 - ortholog count (reference : comparison)	Pseudomonas putida S16 - ortholuge status	Pseudomonas putida S16 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa NCGM2.S1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa NCGM2.S1 - ortholuge status	Pseudomonas aeruginosa NCGM2.S1 - ortholog NCBI RefSeq accession	Corynebacterium kroppenstedtii DSM 44385 - ortholog count (reference : comparison)	Corynebacterium kroppenstedtii DSM 44385 - ortholuge status	Corynebacterium kroppenstedtii DSM 44385 - ortholog NCBI RefSeq accession	Pseudomonas mendocina ymp - ortholog count (reference : comparison)	Pseudomonas mendocina ymp - ortholuge status	Pseudomonas mendocina ymp - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PA7 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PA7 - ortholuge status	Pseudomonas aeruginosa PA7 - ortholog NCBI RefSeq accession	Neisseria meningitidis MC58 - ortholog count (reference : comparison)	Neisseria meningitidis MC58 - ortholuge status	Neisseria meningitidis MC58 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Pseudomonas putida KT2440 - ortholog count (reference : comparison)	Pseudomonas putida KT2440 - ortholuge status	Pseudomonas putida KT2440 - ortholog NCBI RefSeq accession	Neisseria gonorrhoeae FA 1090 - ortholog count (reference : comparison)	Neisseria gonorrhoeae FA 1090 - ortholuge status	Neisseria gonorrhoeae FA 1090 - ortholog NCBI RefSeq accession
16128974	b1008	NP_415528.1	malonic semialdehyde reductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012730737.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128975	b1009	NP_415529.1	putative aminoacrylate hydrolase	1 to 1	SSD	WP_014853213.1	1 to 1	RBB	WP_003105331.1	0	N/A		0	N/A		1 to 1	RBB	WP_003088786.1	0	N/A		1 to 1	RBB	WP_012017915.1	2 to 1	RBB	WP_003156563.1;WP_012073870.1	0	N/A		1 to 1	RBB	WP_003139620.1	0	N/A		0	N/A	
16128976	b1010	NP_415530.1	putative aminoacrylate peracid reductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111203	b1011	NP_415531.2	ureidoacrylate amidohydrolase	0	N/A		1 to 1	RBB	WP_003099724.1	0	N/A		0	N/A		1 to 1	RBB	WP_003097010.1	0	N/A		1 to 1	RBB	WP_012020236.1	1 to 1	RBB	WP_003155422.1	0	N/A		1 to 1	RBB	WP_003109125.1	1 to 1	RBB	NP_746071.1	0	N/A	
49176071	b1012	NP_415532.3	pyrimidine oxygenase, FMN-dependent	0	N/A		0	N/A		1 to 2	RBB	WP_014847125.1	1 to 1	RBB	WP_013970431.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128979	b1013	NP_415533.1	DNA-binding transcriptional repressor for rut operon	1 to 1	RBB	WP_043942643.1	1 to 1	RBB	WP_003117223.1	1 to 1	RBB	WP_014845654.1	1 to 1	RBB	WP_003257076.1	1 to 1	RBB	WP_003083903.1	1 to 1	RBB	WP_041629448.1	1 to 1	RBB	WP_003240396.1	1 to 1	RBB	WP_011979203.1	0	N/A		1 to 1	RBB	WP_003137048.1	1 to 1	RBB	NP_742757.1	0	N/A	
16128980	b1014	NP_415534.1	fused DNA-binding transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase	1 to 1	SSD	WP_014851024.1	1 to 1	RBB	WP_003085590.1	1 to 1	RBB	WP_041696706.1	1 to 1	RBB	WP_044047166.1	1 to 1	RBB	WP_003085590.1	1 to 1	RBB	WP_041629055.1	1 to 1	SSD	WP_012017789.1	1 to 1	RBB	WP_012077024.1	1 to 1	Borderline-SSD	NP_273450.1	1 to 1	RBB	WP_003140924.1	1 to 1	RBB	NP_747050.1	0	N/A	
16128981	b1015	NP_415535.1	proline:sodium symporter	1 to 1	RBB	WP_014851861.1	1 to 1	RBB	WP_003103073.1	1 to 1	RBB	WP_014847026.1	1 to 1	RBB	WP_013974484.1	1 to 1	RBB	WP_003085592.1	1 to 1	RBB	WP_012731938.1	1 to 1	RBB	WP_003241627.1	1 to 1	RBB	WP_012077023.1	1 to 1	RBB	NP_273451.1	1 to 1	RBB	WP_003085592.1	1 to 1	RBB	NP_747049.1	1 to 1	RBB	YP_208600.1
16128982	b1018	NP_415537.1	inactive ferrous ion transporter EfeUOB	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012732636.1	0	N/A		0	N/A		1 to 1	RBB	NP_273101.1	0	N/A		0	N/A		1 to 1	RBB	YP_209069.1
16128983	b1019	NP_415538.1	deferrrochelatase, periplasmic	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041629668.1	0	N/A		0	N/A		1 to 1	RBB	NP_273102.1	0	N/A		0	N/A		1 to 1	RBB	YP_209070.1
16128984	b1020	NP_415539.1	conserved protein with nucleoside triphosphate hydrolase domain	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128985	b1021	NP_415540.1	required for biofilm adhesin polysaccharide PGA synthesis	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128986	b1022	NP_415541.1	predicted glycosyl transferase	1 to 1	RBB	WP_014851334.1	3 to 1	RBB	YP_006484389;WP_003117006.1;WP_003116152.1	1 to 1	RBB	WP_041696960.1	0	N/A		3 to 1	RBB	WP_003086277.1;WP_003085404.1;WP_003095756.1	0	N/A		1 to 1	RBB	WP_011920805.1	2 to 1	RBB	WP_003157001.1;WP_003148469.1	0	N/A		3 to 1	RBB	WP_011666744.1;WP_003141745.1;WP_003108624.1	0	N/A		0	N/A	
16128987	b1023	NP_415542.1	biofilm adhesin polysaccharide PGA export lipoprotein with a polysaccharide deacetylase activity needed for export	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128988	b1024	NP_415543.1	biofilm adhesin polysaccharide PGA export, predicted OM protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128989	b1025	NP_415544.1	diguanylate cyclase	0	N/A		1 to 1	RBB	WP_003104500.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012019888.1	1 to 1	RBB	WP_003154582.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128990	b1026	NP_415545.1	IS3 transposase B	1 to 5	RBB	YP_006523844	7 to 6	RBB	WP_003116490.1	0	N/A		4 to 5	RBB	WP_033694705.1;WP_044047268.1	7 to 6	RBB	WP_003115187.1;WP_041025738.1	0	N/A		0	N/A		1 to 5	SSD	WP_004352797.1	0	N/A		2 to 6	RBB	WP_003137178.1;WP_023443521.1	1 to 5	RBB	NP_746556.1	0	N/A	
226524706	b1027	NP_415546.2	IS3 transposase A	2 to 5	RBB	WP_014853936.1;WP_014852295.1	0	N/A		0	N/A		3 to 5	RBB	WP_011535022.1	0	N/A		0	N/A		1 to 5	RBB	WP_012020325.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128993	b1029	NP_415548.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111205	b1033	NP_415551.2	glyoxylate/hydroxypyruvate reductase A	0	N/A		1 to 1	RBB	WP_003116039.1	0	N/A		1 to 1	RBB	WP_013973766.1	1 to 1	RBB	WP_003086815.1	0	N/A		1 to 1	RBB	WP_012018273.1	1 to 1	RBB	WP_012076578.1	0	N/A		1 to 1	RBB	WP_003086815.1	1 to 1	RBB	NP_746698.1	0	N/A	
16128997	b1034	NP_415552.1	predicted zinc-binding hydrolase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128998	b1035	NP_415553.1	conserved protein, REMP family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111206	b1036	NP_415554.4	inner membrane protein, DUF1097 family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129000	b1037	NP_415555.1	Curli production assembly/transport outer membrane lipoprotein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_013972853.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_745609.1	0	N/A	
16129001	b1038	NP_415556.1	outer membrane protein involved in curlin assembly/transport	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_013972854.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_745610.1	0	N/A	
16129002	b1039	NP_415557.1	curli production assembly/transport componen	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_013972855.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_745611.1	0	N/A	
16129003	b1040	NP_415558.1	DNA-binding transcriptional activator for csgBA	1 to 1	RBB	WP_043942865.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129004	b1041	NP_415559.1	curlin nucleator protein, minor subunit in curli complex	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_013972777.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_745538.1	0	N/A	
16129005	b1042	NP_415560.1	cryptic curlin major subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129006	b1043	NP_415561.1	curli assembly protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129007	b1044	NP_415562.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129008	b1045	NP_415563.1	RNase III inhibitor during cold shock, UPF0189 family	0	N/A		1 to 1	RBB	WP_003092502.1	0	N/A		0	N/A		1 to 1	RBB	WP_003092502.1	0	N/A		0	N/A		1 to 1	RBB	WP_003154114.1	0	N/A		1 to 1	RBB	WP_003137969.1	0	N/A		0	N/A	
90111207	b1046	NP_415564.2	predicted hydrolase	1 to 1	RBB	WP_043942724.1	1 to 1	RBB	WP_003098282.1	0	N/A		1 to 1	RBB	WP_041506317.1	1 to 1	RBB	WP_023127463.1	0	N/A		1 to 1	RBB	WP_012018485.1	1 to 1	RBB	WP_041025437.1	1 to 1	RBB	NP_274446.1	1 to 1	RBB	WP_016254362.1	1 to 1	RBB	NP_747377.1	1 to 1	RBB	YP_208012.1
16129010	b1047	NP_415565.1	membrane protein required for succinylation of osmoregulated periplasmic glucans (OPGs)	0	N/A		0	N/A		1 to 1	RBB	WP_014846775.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129011	b1048	NP_415566.1	osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein	1 to 1	RBB	WP_014853512.1	1 to 1	RBB	WP_014834160.1	0	N/A		1 to 1	RBB	WP_031325718.1	1 to 1	RBB	WP_003095915.1	0	N/A		1 to 1	RBB	WP_012019344.1	1 to 1	RBB	WP_033999967.1	0	N/A		1 to 1	RBB	WP_003095915.1	1 to 1	RBB	NP_747127.1	0	N/A	
16129012	b1049	NP_415567.1	membrane glycosyltransferase	1 to 1	RBB	WP_014853513.1	1 to 1	RBB	WP_003103448.1	0	N/A		1 to 1	RBB	WP_013974553.1	1 to 1	RBB	WP_003095912.1	0	N/A		1 to 1	RBB	WP_012019343.1	1 to 1	RBB	WP_012077743.1	0	N/A		1 to 1	RBB	WP_003135824.1	1 to 1	RBB	NP_747126.1	0	N/A	
16129013	b1050	NP_415568.1	lipoprotein, DUF1375 family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_011920535.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111208	b1051	NP_415569.4	multicopy suppressor of secY and secA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129016	b1053	NP_415571.1	predicted drug efflux system	0	N/A		1 to 1	RBB	WP_003090864.1	1 to 1	RBB	YP_006511297	0	N/A		1 to 1	RBB	WP_003090864.1	0	N/A		0	N/A		1 to 1	RBB	WP_012075852.1	0	N/A		0	N/A		0	N/A		0	N/A	
16129017	b1054	NP_415572.1	lauryl-acyl carrier protein (ACP)-dependent acyltransferase	1 to 2	RBB	WP_014852176.1	1 to 2	RBB	WP_003114803.1	0	N/A		1 to 2	RBB	WP_013971425.1	1 to 2	RBB	WP_003091577.1	0	N/A		1 to 2	RBB	WP_012017874.1	1 to 2	RBB	WP_012074971.1	1 to 2	RBB	NP_274430.1	1 to 2	RBB	WP_003091577.1	1 to 2	RBB	NP_743891.1	2 to 1	RBB	YP_207324.1
16129018	b1055	NP_415573.1	predicted rhodanese-related sulfurtransferase	1 to 1	Non-SSD	WP_014852196.1	1 to 1	Non-SSD	WP_003085861.1	0	N/A		1 to 1	Non-SSD	WP_013971443.1	1 to 1	Non-SSD	WP_003085861.1	1 to 1	RBB	WP_012730835.1	1 to 1	Non-SSD	WP_003245074.1	1 to 1	Non-SSD	WP_003151945.1	0	N/A		1 to 1	Non-SSD	WP_003140843.1	1 to 1	RBB	NP_743914.1	0	N/A	
16129019	b1056	NP_415574.1	secreted protein	1 to 1	SSD	WP_043942487.1	1 to 1	RBB	WP_003084626.1	0	N/A		1 to 1	RBB	WP_013974517.1	1 to 1	RBB	WP_003084626.1	1 to 1	RBB	WP_012731058.1	1 to 1	SSD	WP_004373105.1	1 to 1	RBB	WP_003155469.1	1 to 1	RBB	NP_274064.1	1 to 1	RBB	WP_003084626.1	1 to 1	RBB	NP_747083.1	1 to 1	Borderline-SSD	YP_207704.1
16129020	b1057	NP_415575.1	predicted cytochrome b561	1 to 1	RBB	WP_014851238.1	1 to 1	RBB	WP_003106133.1	0	N/A		1 to 1	RBB	WP_013974518.1	1 to 1	RBB	WP_003084623.1	0	N/A		1 to 1	RBB	WP_041772786.1	1 to 1	RBB	WP_012074010.1	0	N/A		1 to 1	RBB	WP_003106133.1	1 to 1	RBB	NP_747084.1	0	N/A	
16129021	b1058	NP_415576.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129022	b1059	NP_415577.1	N-methyltryptophan oxidase, FAD-binding	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_013972113.1	0	N/A		1 to 1	RBB	WP_041629400.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_745905.1	0	N/A	
49176074	b1060	NP_415578.3	biofilm regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129024	b1061	NP_415579.1	DNA damage-inducible protein I	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129025	b1062	NP_415580.1	dihydro-orotase	1 to 1	SSD	WP_014851814.1	1 to 1	Borderline-SSD	WP_003117520.1	0	N/A		1 to 1	SSD	WP_013973958.1	1 to 1	SSD	WP_003092068.1	0	N/A		1 to 1	SSD	WP_012017983.1	1 to 1	Borderline-SSD	WP_012074780.1	1 to 1	RBB	NP_273724.1	1 to 1	Borderline-SSD	WP_003138114.1	1 to 1	SSD	NP_743247.1	1 to 1	RBB	YP_207418.1
16129026	b1063	NP_415581.1	lipoprotein, DUF1439 family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129027	b1064	NP_415582.1	glutaredoxin 2 (Grx2)	0	N/A		1 to 1	RBB	WP_003087752.1	0	N/A		1 to 1	RBB	WP_013971501.1	1 to 1	RBB	WP_003087752.1	0	N/A		0	N/A		1 to 1	RBB	WP_003152886.1	1 to 1	RBB	NP_274737.1	1 to 1	RBB	WP_003087752.1	0	N/A		1 to 1	SSD	YP_208441.1
90111209	b1065	NP_415583.4	multidrug resistance efflux transporter conferring overexpression resistance to norfloxacin and enoxacin	0	N/A		1 to 1	RBB	WP_014834049.1	1 to 1	RBB	WP_014847039.1	0	N/A		0	N/A		1 to 1	RBB	WP_041629347.1	0	N/A		1 to 1	RBB	WP_012076098.1	0	N/A		0	N/A		0	N/A		0	N/A	
16129029	b1066	NP_415584.1	ribosomal-protein-S5-alanine N-acetyltransferase	0	N/A		1 to 1	RBB	WP_003117384.1	0	N/A		1 to 1	RBB	WP_008093840.1	1 to 1	RBB	WP_003088245.1	1 to 1	RBB	WP_041629139.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_009315587.1	0	N/A		0	N/A	
16129030	b1067	NP_415585.1	conserved protein, UPF0502 family	0	N/A		1 to 1	RBB	WP_003091932.1	0	N/A		1 to 1	RBB	WP_013973177.1	1 to 1	RBB	WP_003091932.1	0	N/A		1 to 1	RBB	WP_012018875.1	1 to 1	RBB	WP_012074820.1	0	N/A		1 to 1	RBB	WP_003138197.1	1 to 1	RBB	NP_744590.1	0	N/A	
16129031	b1068	NP_415586.1	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129032	b1069	NP_415587.1	probable peptidoglycan lipid II flippase required for murein synthesis	1 to 1	SSD	WP_014854145.1	1 to 1	SSD	WP_003102622.1	0	N/A		1 to 1	SSD	WP_013970749.1	1 to 1	SSD	WP_023435611.1	1 to 1	RBB	WP_041629680.1	1 to 1	SSD	WP_011921043.1	1 to 1	SSD	WP_012077315.1	1 to 1	SSD	NP_273333.1	1 to 1	SSD	WP_003102622.1	1 to 1	SSD	NP_742763.1	1 to 1	SSD	YP_208751.1
16129033	b1070	NP_415588.1	export chaperone for FlgK and FlgL	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129034	b1071	NP_415589.1	anti-sigma factor for FliA (sigma 28)	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129035	b1072	NP_415590.1	assembly protein for flagellar basal-body periplasmic P ring	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129036	b1073	NP_415591.1	flagellar component of cell-proximal portion of basal-body rod	2 to 1	RBB	WP_014852151.1;WP_014851100.1	1 to 1	SSD	WP_003082144.1	0	N/A		1 to 1	SSD	WP_023661397.1	1 to 1	SSD	WP_003082144.1	0	N/A		1 to 1	SSD	WP_003247062.1	1 to 1	SSD	WP_012076728.1	0	N/A		1 to 1	SSD	WP_003082144.1	1 to 1	SSD	NP_746505.1	0	N/A	
16129037	b1074	NP_415592.1	flagellar component of cell-proximal portion of basal-body rod	1 to 1	SSD	WP_014852152.1	1 to 1	Borderline-SSD	WP_003082150.1	0	N/A		1 to 1	Non-SSD	WP_025340101.1	1 to 1	Borderline-SSD	WP_003082150.1	0	N/A		1 to 1	SSD	WP_003247063.1	1 to 1	Non-SSD	WP_003082150.1	0	N/A		1 to 1	Borderline-SSD	WP_003082150.1	1 to 1	Non-SSD	NP_746504.1	0	N/A	
16129038	b1075	NP_415593.1	flagellar hook assembly protein	1 to 1	Borderline-SSD	WP_014852153.1	1 to 1	SSD	WP_003082153.1	0	N/A		1 to 1	SSD	WP_013973625.1	1 to 1	SSD	WP_003082153.1	0	N/A		1 to 1	Borderline-SSD	WP_012019041.1	1 to 1	Borderline-SSD	WP_003149706.1	0	N/A		1 to 1	Borderline-SSD	WP_003111390.1	1 to 1	Borderline-SSD	NP_746503.1	0	N/A	
16129039	b1076	NP_415594.1	flagellar hook protein	1 to 1	SSD	WP_014851103.1	1 to 1	Borderline-SSD	WP_003082154.1	0	N/A		1 to 1	SSD	WP_013973624.1	1 to 1	SSD	WP_003086405.1	0	N/A		2 to 1	Borderline-SSD	WP_011920516.1;WP_012019040.1	1 to 1	Borderline-SSD	WP_012076727.1	0	N/A		1 to 1	Borderline-SSD	WP_003086405.1	1 to 1	SSD	NP_746502.1	0	N/A	
16129040	b1077	NP_415595.1	flagellar component of cell-proximal portion of basal-body rod	1 to 1	SSD	WP_014852155.1	1 to 1	Borderline-SSD	WP_003082159.1	0	N/A		1 to 1	Borderline-SSD	WP_013973622.1	1 to 1	Borderline-SSD	WP_003082159.1	0	N/A		1 to 1	SSD	WP_003247066.1	1 to 1	Borderline-SSD	WP_012076726.1	0	N/A		1 to 1	Borderline-SSD	WP_003082159.1	1 to 1	Borderline-SSD	NP_746500.1	0	N/A	
16129041	b1078	NP_415596.1	flagellar component of cell-distal portion of basal-body rod	1 to 1	SSD	WP_014852156.1	1 to 1	Non-SSD	WP_003082164.1	0	N/A		1 to 1	Non-SSD	WP_013973621.1	1 to 1	Non-SSD	WP_003082164.1	0	N/A		1 to 1	Borderline-SSD	WP_003247067.1	1 to 1	Non-SSD	WP_003082164.1	0	N/A		1 to 1	Non-SSD	WP_003082164.1	1 to 1	Non-SSD	NP_746499.1	0	N/A	
16129042	b1079	NP_415597.1	flagellar protein of basal-body outer-membrane L ring	2 to 1	SSD	WP_014851106.1;WP_014852157.1	1 to 1	Non-SSD	WP_003086407.1	0	N/A		1 to 1	Non-SSD	WP_013973620.1	1 to 1	Non-SSD	WP_003086407.1	0	N/A		2 to 1	RBB	WP_003247068.1;WP_011920519.1	1 to 1	Non-SSD	WP_012076725.1	0	N/A		1 to 1	Non-SSD	WP_003086407.1	1 to 1	Non-SSD	NP_746498.1	0	N/A	
49176076	b1080	NP_415598.3	predicted flagellar basal body protein	2 to 1	RBB	WP_014852158.1;WP_014851107.1	1 to 1	SSD	WP_003082169.1	0	N/A		1 to 1	Borderline-SSD	WP_015271237.1	1 to 1	SSD	WP_003082169.1	0	N/A		2 to 1	RBB	WP_036987504.1;WP_011920520.1	1 to 1	Borderline-SSD	WP_003082169.1	0	N/A		1 to 1	Borderline-SSD	WP_003082169.1	1 to 1	Borderline-SSD	NP_746497.1	0	N/A	
16129044	b1081	NP_415599.1	muramidase	1 to 1	SSD	WP_014852159.1	1 to 1	SSD	WP_003116316.1	0	N/A		1 to 1	Borderline-SSD	WP_013973618.1	1 to 1	SSD	WP_003086409.1	0	N/A		1 to 1	SSD	WP_012019038.1	1 to 1	Borderline-SSD	WP_012076724.1	0	N/A		1 to 1	Borderline-SSD	WP_003116316.1	1 to 1	Borderline-SSD	NP_746496.1	0	N/A	
16129045	b1082	NP_415600.1	flagellar hook-filament junction protein 1	1 to 1	SSD	WP_014852160.1	1 to 1	SSD	WP_003082174.1	0	N/A		1 to 1	SSD	WP_013973617.1	1 to 1	SSD	WP_003086411.1	0	N/A		1 to 1	SSD	WP_012019037.1	1 to 1	SSD	WP_012076723.1	0	N/A		1 to 1	SSD	WP_003140599.1	1 to 1	SSD	NP_746495.1	0	N/A	
16129046	b1083	NP_415601.1	flagellar hook-filament junction protein	1 to 1	SSD	WP_014852161.1	1 to 1	Borderline-SSD	WP_003111492.1	0	N/A		1 to 1	Borderline-SSD	WP_013973616.1	0	N/A		0	N/A		2 to 1	RBB	WP_012019036.1;WP_041773026.1	1 to 1	Borderline-SSD	WP_012076722.1	0	N/A		1 to 1	Borderline-SSD	WP_003111492.1	1 to 1	RBB	NP_746494.1	0	N/A	
16129047	b1084	NP_415602.1	fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein	1 to 1	SSD	WP_043942832.1	1 to 1	SSD	WP_031634494.1	0	N/A		1 to 1	SSD	WP_044046920.1	1 to 1	SSD	WP_031629682.1	1 to 1	RBB	WP_041629445.1	1 to 1	SSD	WP_012018154.1	1 to 1	SSD	WP_041025313.1	1 to 1	SSD	NP_273254.1	1 to 1	SSD	WP_003138592.1	1 to 1	SSD	NP_744060.1	1 to 1	SSD	YP_208816.1
90111210	b1085	NP_415603.2	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16129049	b1086	NP_415604.1	23S rRNA pseudouridine synthase; specific to U955, U2504, and U2580	1 to 1	SSD	WP_014853397.1	1 to 1	SSD	WP_003104143.1	0	N/A		1 to 1	SSD	WP_013971570.1	1 to 1	SSD	WP_003104143.1	0	N/A		1 to 1	SSD	WP_003245195.1	1 to 1	SSD	WP_012075168.1	1 to 1	SSD	NP_273256.1	1 to 1	SSD	WP_003104143.1	0	N/A		1 to 1	RBB	YP_208814.1
90111211	b1087	NP_415605.2	Maf-like protein	1 to 1	SSD	WP_014853400.1	1 to 1	SSD	WP_003113992.1	1 to 2	RBB	WP_041696264.1	1 to 1	SSD	WP_013971573.1	1 to 1	SSD	WP_003091145.1	1 to 2	RBB	WP_012732147.1	1 to 1	SSD	WP_012018157.1	1 to 1	SSD	WP_012075171.1	1 to 1	SSD	NP_274903.1	1 to 1	SSD	WP_003091145.1	1 to 1	SSD	NP_744063.1	1 to 1	SSD	YP_209180.1
16129051	b1088	NP_415606.1	conserved protein, DUF177 family	1 to 1	RBB	WP_014853401.1	1 to 1	RBB	WP_003091144.1	0	N/A		1 to 1	RBB	YP_004700998	1 to 1	RBB	WP_003091144.1	0	N/A		1 to 1	RBB	WP_003245186.1	1 to 1	RBB	WP_012075172.1	1 to 1	RBB	NP_274904.1	1 to 1	RBB	WP_003091144.1	1 to 1	RBB	NP_744064.1	1 to 1	RBB	YP_209179.1
