Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession
16128562	b0579	NP_415111.1	conserved protein	0	N/A		1 to 1	SSD	YP_005236283	1 to 1	SSD	NP_459571.1	0	N/A		1 to 1	RBB	YP_001085774	1 to 1	RBB	YP_002386033	0	N/A	
16128563	b0580	NP_415112.1	predicted inner membrane protein	0	N/A		1 to 1	RBB	YP_005236287	1 to 1	RBB	NP_459574.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386034	0	N/A	
16128564	b0581	NP_415113.1	weak gamma-glutamyl:cysteine ligase	1 to 1	RBB	WP_003900145.1	1 to 1	SSD	YP_005236288	1 to 1	SSD	NP_459575.1	1 to 1	Non-SSD	NP_250871.1	0	N/A		1 to 1	RBB	YP_002386035	1 to 1	RBB	WP_009315730.1
16128565	b0582	NP_415114.1	IS186 transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128566	b0583	NP_415115.1	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
345452717	b0583	NP_415115.2	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex	0	N/A		1 to 1	SSD	YP_005236289	1 to 1	SSD	NP_459576.1	1 to 1	RBB	NP_249856.1	2 to 1	RBB	YP_001085587;YP_001085394	1 to 1	RBB	YP_002386038	1 to 1	RBB	WP_003082383.1
16128567	b0584	NP_415116.1	iron-enterobactin outer membrane transporter	0	N/A		1 to 1	Borderline-SSD	YP_005236290	1 to 1	Borderline-SSD	NP_459577.1	1 to 1	RBB	NP_251378.1	1 to 1	RBB	YP_001084014	1 to 1	RBB	YP_002386039	1 to 1	RBB	WP_003138878.1
16128568	b0585	NP_415117.1	enterobactin/ferric enterobactin esterase	0	N/A		1 to 1	SSD	YP_005236292	1 to 1	SSD	NP_459578.1	1 to 1	RBB	NP_251141.1	0	N/A		1 to 1	RBB	YP_002386040	1 to 1	RBB	WP_003139194.1
16128569	b0586	NP_415118.1	enterobactin synthase multienzyme complex component, ATP-dependent	2 to 1	RBB	WP_003899297.1;WP_003400794.1	1 to 1	SSD	YP_005236294	1 to 1	SSD	NP_459580.1	5 to 1	RBB	NP_251089.1;NP_251090.2;NP_251114.1;NP_252017.1;NP_251092.1	1 to 1	SSD	YP_001083204	1 to 1	RBB	YP_002386042	5 to 1	RBB	WP_003139218.1;WP_011666645.1;WP_031656476.1;WP_003138271.1;WP_011666646.1
16128570	b0587	NP_415119.1	regulator of length of O-antigen component of lipopolysaccharide chains	0	N/A		1 to 1	RBB	YP_005236295	1 to 1	RBB	NP_459581.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386043	1 to 1	RBB	WP_011666598.1
16128571	b0588	NP_415120.1	iron-enterobactin transporter subunit	0	N/A		1 to 1	SSD	YP_005236296	1 to 1	SSD	NP_459582.1	1 to 1	RBB	NP_252847.1	1 to 3	RBB	YP_001085408	1 to 1	RBB	YP_002386044	1 to 1	RBB	WP_003093530.1
16128572	b0589	NP_415121.1	iron-enterobactin transporter subunit	0	N/A		1 to 1	SSD	YP_005236297	1 to 1	SSD	NP_459583.1	1 to 1	RBB	NP_252850.1	0	N/A		1 to 1	RBB	YP_002386045	1 to 1	RBB	WP_003119001.1
16128573	b0590	NP_415122.1	iron-enterobactin transporter subunit	0	N/A		1 to 1	SSD	YP_005236298	1 to 1	SSD	NP_459584.1	1 to 1	RBB	NP_252849.1	1 to 2	RBB	YP_001084815	1 to 1	RBB	YP_002386046	1 to 1	RBB	WP_003137530.1
16128574	b0591	NP_415123.1	enterobactin exporter, iron-regulated	0	N/A		1 to 1	SSD	YP_005236299	1 to 1	SSD	NP_459585.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386047	0	N/A	
16128575	b0592	NP_415124.1	iron-enterobactin transporter subunit	0	N/A		1 to 1	Borderline-SSD	YP_005236300	1 to 1	Borderline-SSD	NP_459586.1	1 to 1	RBB	NP_252848.1	0	N/A		1 to 1	RBB	YP_002386048	1 to 1	RBB	WP_003093531.1
16128576	b0593	NP_415125.1	isochorismate synthase 1	1 to 1	RBB	WP_003416879.1	1 to 1	SSD	YP_005236301	1 to 1	SSD	NP_459587.1	1 to 1	RBB	NP_252921.1	2 to 1	RBB	YP_001085393;YP_001085600	1 to 1	RBB	YP_002386049	1 to 1	RBB	WP_003129314.1
16128577	b0594	NP_415126.1	2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex	1 to 1	RBB	WP_003412282.1	1 to 1	SSD	YP_005236302	1 to 1	SSD	NP_459588.1	1 to 1	RBB	NP_252918.1	1 to 1	SSD	YP_001085402	1 to 1	RBB	YP_002386050	2 to 1	RBB	WP_031632622.1;WP_003137468.1
16128578	b0595	NP_415127.1	isochorismatase	0	N/A		1 to 1	SSD	YP_005236303	1 to 1	SSD	NP_459589.1	2 to 1	RBB	NP_252902.1;NP_250593.1	1 to 1	RBB	YP_001085401	1 to 1	RBB	YP_002386051	2 to 1	RBB	WP_003093625.1;WP_011666698.1
16128579	b0596	NP_415128.1	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	0	N/A		1 to 1	SSD	YP_005236304	1 to 1	SSD	NP_459590.1	1 to 1	RBB	NP_254208.1	1 to 1	RBB	YP_001085598	1 to 1	RBB	YP_002386052	1 to 1	RBB	WP_003097046.1
16128580	b0597	NP_415129.1	thioesterase required for efficient enterobactin production	1 to 2	RBB	WP_003899048.1	1 to 1	SSD	YP_005236305	1 to 1	SSD	NP_459591.1	1 to 2	RBB	NP_250309.1	0	N/A		1 to 1	RBB	YP_002386053	1 to 2	RBB	WP_003087490.1
16128581	b0598	NP_415130.1	carbon starvation protein	1 to 2	RBB	WP_003917116.1	1 to 1	SSD	YP_005236307	1 to 1	SSD	NP_459592.1	0	N/A		1 to 2	RBB	YP_001085438	1 to 1	RBB	YP_002386054	0	N/A	
16128582	b0599	NP_415132.1	predicted oxidoreductase	0	N/A		1 to 1	Borderline-SSD	YP_005236309	1 to 1	Borderline-SSD	NP_459594.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386056	0	N/A	
16128583	b0600	NP_415133.1	methionine aminotransferase, PLP-dependent	1 to 1	RBB	WP_003404420.1	1 to 1	SSD	YP_005236310	1 to 1	SSD	NP_459595.1	1 to 1	RBB	NP_252487.1	1 to 1	SSD	YP_001086361	1 to 1	RBB	YP_002386057	1 to 1	RBB	WP_003137858.1
16128584	b0601	NP_415134.1	conserved protein	0	N/A		1 to 1	SSD	YP_005236311	1 to 1	SSD	NP_459596.1	1 to 1	RBB	NP_250816.1	0	N/A		1 to 1	RBB	YP_002386058	1 to 1	RBB	WP_003088853.1
16128585	b0602	NP_415135.1	conserved protein	0	N/A		1 to 1	SSD	YP_005236312	1 to 1	SSD	NP_459597.1	1 to 1	RBB	NP_250817.1	0	N/A		1 to 1	RBB	YP_002386059	1 to 1	RBB	WP_003139581.1
16128586	b0603	NP_415136.1	predicted DNA-binding transcriptional regulator	0	N/A		1 to 1	Borderline-SSD	YP_005236313	1 to 1	Borderline-SSD	NP_459598.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386060	1 to 1	RBB	WP_011666777.1
90111151	b0604	NP_415137.2	thiol:disulfide interchange protein, periplasmic	0	N/A		1 to 1	SSD	YP_005236314	1 to 1	SSD	NP_459599.1	1 to 1	RBB	NP_251166.1	0	N/A		1 to 1	RBB	YP_002386061	1 to 1	RBB	WP_003089790.1
16128588	b0605	NP_415138.1	alkyl hydroperoxide reductase, C22 subunit	1 to 1	RBB	WP_003412529.1	1 to 1	SimNSSD	YP_005236315	1 to 1	SimNSSD	NP_459600.1	1 to 1	RBB	NP_248829.1	1 to 1	SSD	YP_001084237	1 to 1	RBB	YP_002386062	1 to 1	RBB	WP_003083828.1
90111152	b0606	NP_415139.2	alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding	0	N/A		1 to 1	SSD	YP_005236316	1 to 1	SSD	NP_459601.1	1 to 1	RBB	NP_248830.1	1 to 1	SSD	YP_001084232	1 to 1	RBB	YP_002386063	1 to 1	RBB	WP_003137023.1
16128590	b0607	NP_415140.1	universal stress protein UP12	0	N/A		1 to 1	SSD	YP_005236321	1 to 1	SSD	NP_459606.1	1 to 1	RBB	NP_251707.1	1 to 1	RBB	YP_001085707	1 to 1	RBB	YP_002386064	1 to 1	RBB	WP_003091210.1
16128591	b0608	NP_415141.1	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	1 to 1	RBB	WP_031682186.1	1 to 1	RBB	YP_005236324	1 to 1	RBB	NP_459607.1	1 to 1	RBB	NP_250878.1	1 to 1	SSD	YP_001084304	1 to 1	RBB	YP_002386065	1 to 1	RBB	WP_003088939.1
16128593	b0610	NP_415143.1	regulator of nucleoside diphosphate kinase	0	N/A		1 to 1	SSD	YP_005236325	1 to 1	SSD	NP_459608.1	1 to 1	RBB	NP_253961.1	0	N/A		1 to 1	RBB	YP_002386066	1 to 1	RBB	WP_003096424.1
16128594	b0611	NP_415144.1	ribonuclease I	0	N/A		1 to 1	SSD	YP_005236326	1 to 1	SSD	NP_459609.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386067	0	N/A	
16128595	b0612	NP_415145.1	citrate:succinate antiporter	0	N/A		1 to 1	RBB	YP_005236327	1 to 1	RBB	NP_459610.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386068	0	N/A	
16128596	b0613	NP_415146.1	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase	0	N/A		1 to 1	RBB	YP_005236328	1 to 1	RBB	NP_459611.1	1 to 1	SSD	NP_248900.1	1 to 1	SSD	YP_001084452	1 to 1	RBB	YP_002386069	1 to 1	RBB	WP_003137092.1
16128597	b0614	NP_415147.1	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	0	N/A		1 to 1	RBB	YP_005236329	1 to 1	RBB	NP_459612.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386070	0	N/A	
16128598	b0615	NP_415148.1	citrate lyase, citrate-ACP transferase (alpha) subunit	0	N/A		1 to 1	RBB	YP_005236330	1 to 1	RBB	NP_459613.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386071	0	N/A	
90111153	b0616	NP_415149.4	citrate lyase, citryl-ACP lyase (beta) subunit	2 to 1	RBB	WP_003412766.1;WP_003912070.1	1 to 1	RBB	YP_005236331	1 to 1	RBB	NP_459614.1	1 to 1	RBB	NP_249574.1	0	N/A		1 to 1	RBB	YP_002386072	1 to 1	SSD	WP_003140831.1
16128600	b0617	NP_415150.1	citrate lyase, acyl carrier (gamma) subunit	0	N/A		1 to 1	RBB	YP_005236332	1 to 1	RBB	NP_459615.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386073	0	N/A	
90111154	b0618	NP_415151.4	[citrate [pro-3S]-lyase] ligase	0	N/A		1 to 1	SSD	YP_005236333	1 to 1	SSD	NP_459616.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386074	0	N/A	
16128602	b0619	NP_415152.1	sensory histidine kinase in two-component regulatory system with citB	0	N/A		1 to 1	RBB	YP_005236335	1 to 1	RBB	NP_459617.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386075	0	N/A	
16128603	b0620	NP_415153.1	DNA-binding response regulator in two-component regulatory system with citA	0	N/A		1 to 1	RBB	YP_005236336	1 to 1	RBB	NP_459618.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386076	0	N/A	
16128604	b0621	NP_415154.1	anaerobic C4-dicarboxylate transport	0	N/A		1 to 1	SSD	YP_005236337	1 to 1	SSD	NP_459619.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386077	0	N/A	
16128605	b0622	NP_415155.1	phospholipid:lipid A palmitoyltransferase	0	N/A		1 to 1	Borderline-SSD	YP_005236339	1 to 1	Borderline-SSD	NP_459620.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386078	0	N/A	
16128606	b0623	NP_415156.1	DNA-binding transcriptional repressor	1 to 6	RBB	WP_003419650.1	1 to 1	SSD	YP_005236340	1 to 1	SSD	NP_459621.1	1 to 3	RBB	NP_249147.1	1 to 6	RBB	YP_001084259	1 to 1	RBB	YP_002386079	2 to 3	RBB	WP_003084710.1;WP_003086101.1
16128607	b0624	NP_415157.1	inner membrane protein associated with chromosome condensation	0	N/A		1 to 1	SSD	YP_005236341	1 to 1	SSD	NP_459622.1	1 to 1	RBB	NP_253073.1	1 to 1	SSD	YP_001083450	1 to 1	RBB	YP_002386080	1 to 1	RBB	WP_003141258.1
16128610	b0627	NP_415160.1	TatABCE protein translocation system subunit	0	N/A		1 to 1	SSD	YP_005236344	1 to 1	SSD	NP_459624.1	1 to 1	RBB	NP_253755.1	0	N/A		1 to 1	RBB	YP_002386082	0	N/A	
16128611	b0628	NP_415161.1	lipoate synthase	1 to 1	RBB	WP_003411460.1	1 to 1	SSD	YP_005236345	1 to 1	SSD	NP_459625.1	1 to 1	SSD	NP_252685.1	2 to 1	SSD	YP_001084727;YP_001085353	1 to 1	RBB	YP_002386083	1 to 1	SSD	WP_003119196.1
90111155	b0629	NP_415162.4	predicted DNA-binding transcriptional regulator	0	N/A		1 to 1	SSD	YP_005236347	1 to 1	SSD	NP_459626.1	0	N/A		1 to 2	RBB	YP_001084757	1 to 1	RBB	YP_002386084	0	N/A	
90111156	b0630	NP_415163.2	lipoyl-protein ligase	1 to 1	RBB	WP_003411458.1	1 to 1	SSD	YP_005236349	1 to 1	SSD	NP_459627.2	1 to 1	SSD	NP_252686.1	1 to 1	SSD	YP_001085719	1 to 1	RBB	YP_002386085	1 to 1	SSD	WP_003093177.1
16128614	b0631	NP_415164.1	conserved protein, UPF0250 family	0	N/A		1 to 1	SimNSSD	YP_005236351	1 to 1	SimNSSD	NP_459628.1	1 to 1	SSD	NP_252687.1	1 to 1	SSD	YP_001085720	1 to 1	RBB	YP_002386086	1 to 1	SSD	WP_003100311.1
16128615	b0632	NP_415165.1	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)	0	N/A		1 to 1	SSD	YP_005236352	1 to 1	SSD	NP_459629.1	1 to 3	RBB	NP_252688.1	1 to 3	RBB	YP_001085455	1 to 1	RBB	YP_002386087	1 to 3	RBB	WP_003093182.1
16128616	b0633	NP_415166.1	septal ring protein, suppressor of prc, minor lipoprotein	0	N/A		1 to 1	SSD	YP_005236354	1 to 1	SSD	NP_459630.1	2 to 1	Borderline-SSD	NP_253175.1;NP_252689.1	1 to 1	RBB	YP_001085341	1 to 1	RBB	YP_002386088	2 to 1	RBB	WP_031628446.1;WP_003094403.1
16128617	b0634	NP_415167.1	cell wall shape-determining protein	1 to 2	RBB	WP_003411165.1	1 to 1	SSD	YP_005236355	1 to 1	SSD	NP_459631.1	1 to 1	SSD	NP_252691.1	1 to 1	SSD	YP_001085339	1 to 1	RBB	YP_002386089	1 to 1	SSD	WP_003100307.1
16128618	b0635	NP_415168.1	transpeptidase involved in peptidoglycan synthesis (penicillin-binding protein 2)	1 to 1	RBB	WP_003899775.1	1 to 1	SSD	YP_005236356	1 to 1	SSD	NP_459632.1	1 to 1	SSD	NP_252692.1	1 to 1	SSD	YP_001084054	1 to 1	RBB	YP_002386090	1 to 1	SSD	WP_003093191.1
16128619	b0636	NP_415169.1	23S rRNA m(3)Psi1915 pseudouridine methyltransferase; SAM-dependent	0	N/A		1 to 1	SSD	YP_005236357	1 to 1	SSD	NP_459633.1	1 to 1	SSD	NP_252693.1	1 to 1	SSD	YP_001084063	1 to 1	RBB	YP_002386091	1 to 1	SSD	WP_003137690.1
90111157	b0637	NP_415170.4	ribosome-associated protein	1 to 1	RBB	WP_003412394.1	1 to 1	SSD	YP_005236358	1 to 1	SSD	NP_459634.1	1 to 1	SSD	NP_252694.1	1 to 1	SSD	YP_001083625	1 to 1	RBB	YP_002386092	1 to 1	SSD	WP_003100305.1
16128621	b0638	NP_415171.1	predicted alpha-ribazole-5'-P phosphatase	1 to 2	RBB	WP_003411103.1	1 to 1	SSD	YP_005236359	1 to 1	SSD	NP_459635.1	1 to 2	RBB	NP_249971.1	1 to 1	RBB	YP_001084690	1 to 1	RBB	YP_002386093	1 to 2	RBB	WP_003109283.1
16128622	b0639	NP_415172.1	nicotinic acid mononucleotide adenylyltransferase, NAD(P)-dependent	1 to 1	RBB	WP_003412398.1	1 to 1	SSD	YP_005236361	1 to 1	SSD	NP_459637.1	1 to 1	SSD	NP_252695.1	0	N/A		1 to 1	RBB	YP_002386094	1 to 1	SSD	WP_003093199.1
16128623	b0640	NP_415173.1	DNA polymerase III, delta subunit	0	N/A		1 to 1	SSD	YP_005236362	1 to 1	SSD	NP_459638.1	1 to 1	SSD	NP_252678.1	1 to 1	SSD	YP_001083594	1 to 1	RBB	YP_002386095	1 to 1	Borderline-SSD	WP_003093168.1
16128624	b0641	NP_415174.1	LPS assembly OM complex LptDE, lipoprotein component	0	N/A		1 to 1	SSD	YP_005236363	1 to 1	SSD	NP_459639.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386096	0	N/A	
16128625	b0642	NP_415175.1	leucyl-tRNA synthetase	1 to 1	RBB	WP_003900794.1	1 to 1	SSD	YP_005236364	1 to 1	SSD	NP_459640.1	1 to 1	SSD	NP_252676.1	1 to 1	SSD	YP_001083597	1 to 1	RBB	YP_002386097	1 to 1	Borderline-SSD	WP_003137700.1
16128626	b0643	NP_415176.1	conserved protein, DUF1451 family	0	N/A		1 to 1	SSD	YP_005236369	1 to 1	SSD	NP_459645.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386098	0	N/A	
90111158	b0644	NP_415177.4	conserved protein	0	N/A		1 to 1	RBB	YP_005236370	1 to 1	RBB	NP_459646.1	1 to 1	RBB	NP_253206.1	1 to 1	RBB	YP_001083176	1 to 1	RBB	YP_002386099	1 to 1	RBB	WP_003141344.1
16128628	b0645	NP_415178.1	predicted protein	0	N/A		1 to 1	RBB	YP_005236371	1 to 1	RBB	NP_459647.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386100	0	N/A	
16128629	b0646	NP_415179.1	predicted co-chaperone	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386101	0	N/A	
16128630	b0647	NP_415180.1	conserved protein, Sel1 family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386102	0	N/A	
16128631	b0648	NP_415181.1	conserved protein, DUF1266 family	0	N/A		0	N/A		1 to 1	RBB	NP_459649.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386103	0	N/A	
16128632	b0649	NP_415182.1	Hsc56 co-chaperone of HscC	0	N/A		1 to 1	RBB	YP_005236373	1 to 1	RBB	NP_459650.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386104	0	N/A	
16128633	b0650	NP_415183.1	Hsp70 family chaperone Hsc62, binds to RpoD and inhibits transcription	0	N/A		1 to 1	RBB	YP_005236374	1 to 1	RBB	NP_459651.1	0	N/A		1 to 1	RBB	YP_001085530	1 to 1	RBB	YP_002386105	0	N/A	
16128634	b0651	NP_415184.1	ribonucleoside hydrolase 1	1 to 3	RBB	WP_003417946.1	1 to 1	SSD	YP_005236376	1 to 1	SSD	NP_459653.1	1 to 2	RBB	NP_248833.2	0	N/A		1 to 1	RBB	YP_002386106	1 to 2	RBB	WP_003137027.1
16128635	b0652	NP_415185.1	glutamate and aspartate transporter subunit	0	N/A		1 to 1	SSD	YP_005236377	1 to 1	SSD	NP_459654.1	1 to 1	RBB	NP_250030.1	1 to 1	RBB	YP_001084523	1 to 1	RBB	YP_002386107	1 to 1	RBB	WP_003082761.1
16128636	b0653	NP_415186.1	glutamate and aspartate transporter subunit	0	N/A		1 to 1	Borderline-SSD	YP_005236378	1 to 1	Borderline-SSD	NP_459655.1	1 to 1	RBB	NP_250031.1	1 to 1	SSD	YP_001084522	1 to 1	RBB	YP_002386108	1 to 1	RBB	WP_003104089.1
16128637	b0654	NP_415187.1	glutamate and aspartate transporter subunit	0	N/A		1 to 1	SSD	YP_005236379	1 to 1	SSD	NP_459656.1	1 to 1	RBB	NP_250032.1	1 to 1	Borderline-SSD	YP_001084521	1 to 1	RBB	YP_002386109	1 to 1	RBB	WP_003082767.1
16128638	b0655	NP_415188.1	glutamate and aspartate transporter subunit	0	N/A		1 to 1	SSD	YP_005236380	1 to 1	SSD	NP_459657.1	2 to 1	RBB	NP_250033.1;NP_253769.1	1 to 1	RBB	YP_001084520	1 to 1	RBB	YP_002386110	2 to 1	RBB	WP_003140367.1;WP_003115039.1
16128639	b0656	NP_415189.1	IS5 transposase and trans-activator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128640	b0657	NP_415190.1	apolipoprotein N-acyltransferase	1 to 1	RBB	WP_029988887.1	1 to 1	SSD	YP_005236382	1 to 1	SSD	NP_459658.1	1 to 1	SSD	NP_252673.1	1 to 1	SSD	YP_001083435	1 to 1	RBB	YP_002386112	1 to 1	SSD	WP_003137706.1
16128641	b0658	NP_415191.1	predicteed ion transport	1 to 1	RBB	WP_003412229.1	1 to 1	SSD	YP_005236383	1 to 1	SSD	NP_459659.1	1 to 1	SSD	NP_252672.1	1 to 1	SSD	YP_001083437	1 to 1	RBB	YP_002386113	1 to 1	SSD	WP_003093161.1
16128642	b0659	NP_415192.1	metal-binding heat shock protein required for rRNA maturation	1 to 1	RBB	WP_003899292.1	1 to 1	Borderline-SSD	YP_005236385	1 to 1	Borderline-SSD	NP_459660.1	1 to 1	SSD	NP_252671.1	1 to 1	SSD	YP_001086030	1 to 1	RBB	YP_002386114	1 to 1	SSD	WP_003093160.1
145698230	b0660	NP_415193.2	predicted protein with nucleoside triphosphate hydrolase domain	1 to 1	RBB	WP_003412235.1	1 to 1	SSD	YP_005236386	1 to 1	SSD	NP_459661.2	1 to 1	SSD	NP_252670.1	1 to 1	SSD	YP_001086029	1 to 1	RBB	YP_002386115	1 to 1	SSD	WP_003111486.1
16128644	b0661	NP_415194.1	tRNA-i(6)A37 methylthiotransferase	1 to 1	RBB	WP_003414001.1	1 to 1	SSD	YP_005236388	1 to 1	SSD	NP_459662.1	1 to 1	SSD	NP_252669.1	1 to 1	SSD	YP_001086028	1 to 1	RBB	YP_002386116	1 to 1	SSD	WP_003093158.1
16128645	b0662	NP_415195.1	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol oxygenase	1 to 1	RBB	WP_003408560.1	1 to 1	SSD	YP_005236389	1 to 1	SSD	NP_459663.1	0	N/A		1 to 2	RBB	YP_001084075	1 to 1	RBB	YP_002386117	0	N/A	
16128650	b0674	NP_415200.1	asparagine synthetase B	1 to 1	RBB	WP_003411413.1	1 to 1	Borderline-SSD	YP_005236392	1 to 1	Borderline-SSD	NP_459665.1	3 to 1	RBB	NP_252149.1;NP_248741.1;NP_250774.1	0	N/A		1 to 1	RBB	YP_002386120	3 to 1	RBB	WP_003111526.1;WP_003106635.1;WP_003139621.1
16128651	b0675	NP_415201.1	UMP phosphatase	1 to 1	RBB	WP_003408380.1	1 to 1	SSD	YP_005236393	1 to 1	SSD	NP_459666.1	1 to 1	RBB	NP_252575.1	0	N/A		1 to 1	RBB	YP_002386121	1 to 1	RBB	WP_031632323.1
16128652	b0676	NP_415202.1	DNA-binding transcriptional dual regulator, repressor of N-acetylglucosamine	1 to 2	RBB	WP_003402361.1	1 to 1	SSD	YP_005236394	1 to 1	SSD	NP_459667.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386122	0	N/A	
16128653	b0677	NP_415203.1	N-acetylglucosamine-6-phosphate deacetylase	1 to 1	RBB	WP_003417418.1	1 to 1	SSD	YP_005236395	1 to 1	SSD	NP_459668.1	1 to 1	RBB	NP_252447.1	0	N/A		1 to 1	RBB	YP_002386123	1 to 1	RBB	WP_003137924.1
16128654	b0678	NP_415204.1	glucosamine-6-phosphate deaminase	0	N/A		1 to 1	SimNSSD	YP_005236396	1 to 1	SimNSSD	NP_459669.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386124	0	N/A	
16128655	b0679	NP_415205.1	fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB , and IIA components	0	N/A		1 to 1	SSD	YP_005236398	1 to 1	SSD	NP_459670.1	1 to 1	RBB	NP_252450.1	0	N/A		1 to 1	RBB	YP_002386125	1 to 1	RBB	WP_003104812.1
16128656	b0680	NP_415206.1	glutamyl-tRNA synthetase	0	N/A		1 to 1	SSD	YP_005236399	1 to 1	SSD	NP_459671.1	1 to 1	SSD	NP_250485.1	1 to 1	SSD	YP_001085137	1 to 1	RBB	YP_002386126	1 to 1	SSD	WP_003139945.1
16128657	b0681	NP_415207.1	chitoporin, uptake of chitosugars	0	N/A		1 to 1	SSD	YP_005236402	1 to 1	SSD	NP_459672.1	2 to 1	RBB	NP_251450.1;NP_249649.1	0	N/A		1 to 1	RBB	YP_002386127	0	N/A	
16128658	b0682	NP_415208.1	novel lipoprotein induced by chitosugars	0	N/A		1 to 1	SSD	YP_005236403	1 to 1	SSD	NP_459673.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386128	0	N/A	
16128659	b0683	NP_415209.1	DNA-binding transcriptional dual regulator of siderophore biosynthesis and transport	1 to 1	RBB	WP_003899290.1	1 to 1	Borderline-SSD	YP_005236408	1 to 1	Borderline-SSD	NP_459678.1	1 to 1	SSD	NP_253452.1	1 to 1	SSD	YP_001083929	1 to 1	RBB	YP_002386129	1 to 1	SSD	WP_003095216.1
16128660	b0684	NP_415210.1	flavodoxin 1	0	N/A		1 to 1	SSD	YP_005236410	1 to 1	SSD	NP_459679.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386131	0	N/A	
90111159	b0685	NP_415211.2	LexA-regulated conserved protein	0	N/A		1 to 1	SSD	YP_005236411	1 to 1	SSD	NP_459680.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386132	0	N/A	
